player,birthday,yrs,from,to,pos
David Sharpe,1995-10-21,4,2017,2020,OT
Damon Sheehy-Guiseppi,1995-02-15,NA,NA,NA,WR
Coleman Shelton,1995-07-28,2,2019,2020,C
Darrius Shepherd,1995-11-01,2,2019,2020,WR
Trent Sieg,1995-05-19,3,2018,2020,LS
Zach Sieler,1995-09-07,3,2018,2020,DE
Tuzar Skipper,1995-06-05,1,2019,2019,LB
Jordan Smallwood,1995-01-18,NA,NA,NA,WR
Emmanuel Smith,1995-07-25,NA,NA,NA,LB
Eric Smith,1995-09-02,2,2019,2020,OG
Ito Smith,1995-09-11,3,2018,2020,RB
Jaylon Smith,1995-06-14,4,2017,2020,OLB
Jonnu Smith,1995-08-22,4,2017,2020,TE
Maurice Smith,1995-06-14,3,2017,2019,FS
Dawuane Smoot,1995-03-02,4,2017,2020,DE
Durham Smythe,1995-09-08,3,2018,2020,TE
Matt Sokol,1995-11-09,NA,NA,NA,
Breeland Speaks,1995-12-18,1,2018,2018,DE
E.J. Speed,1995-06-01,2,2019,2020,LB
Robert Spillane,1995-12-14,3,2018,2020,LB
Arrion Springs,1995-09-19,NA,NA,NA,DB
Taylor Stallworth,1995-08-18,3,2018,2020,DT
David Steinmetz,1995-03-01,NA,NA,NA,T
Linden Stephens,1995-03-21,2,2019,2020,CB
Freddie Stevenson,1995-04-12,NA,NA,NA,FB
Nick Stevens,1995-01-31,NA,NA,NA,QB
M.J. Stewart,1995-09-16,3,2018,2020,CB
Easton Stick,1995-09-15,1,2020,2020,
Chris Streveler,1995-01-06,1,2020,2020,
Ty Summers,1995-12-31,2,2019,2020,LB
Cameron Sutton,1995-02-27,4,2017,2020,CB
Courtland Sutton,1995-10-10,3,2018,2020,WR
Tommy Sweeney,1995-07-01,1,2019,2019,TE
Teez Tabor,1995-12-31,2,2017,2018,CB
Sione Takitaki,1995-06-08,2,2019,2020,LB
Jullian Taylor,1995-01-30,2,2018,2019,DT
Malik Taylor,1995-12-21,1,2020,2020,
Taywan Taylor,1995-03-02,4,2017,2020,WR
Sione Teuhema,1995-09-28,NA,NA,NA,
Alex Thompson,1995-07-07,NA,NA,NA,C
Chad Thomas,1995-10-12,2,2018,2019,DE
Jahad Thomas,1995-11-06,NA,NA,NA,LB
Matthew Thomas,1995-07-21,1,2018,2018,OLB
Roc Thomas,1995-09-02,1,2018,2018,RB
Solomon Thomas,1995-08-26,4,2017,2020,DE
Tedric Thompson,1995-01-20,4,2017,2020,SS
Trevion Thompson,1995-11-14,NA,NA,NA,
Clayton Thorson,1995-12-25,NA,NA,NA,QB
Juan Thornhill,1995-10-19,2,2019,2020,S
Jameer Thurman,1995-01-20,NA,NA,NA,LB
Nick Thurman,1995-06-12,1,2020,2020,DT
Jack Tocho,1995-11-02,NA,NA,NA,CB
Kevin Toliver,1995-11-24,2,2018,2019,DB
Jalen Tolliver,1995-12-30,1,2018,2018,WR
Cameron Tom,1995-06-21,1,2018,2018,C
Najee Toran,1995-11-15,NA,NA,NA,OL
Alek Torgersen,1995-01-13,NA,NA,NA,QB
Keith Towbridge,1995-05-21,NA,NA,NA,TE
Johnny Townsend,1995-02-14,1,2018,2018,P
Drue Tranquill,1995-08-15,2,2019,2020,LB
Laquon Treadwell,1995-06-14,4,2016,2019,WR
Nigel Tribune,1995-08-07,NA,NA,NA,CB
Casey Tucker,1995-09-26,NA,NA,NA,
Kemoko Turay,1995-07-11,2,2018,2019,OLB
De'Lance Turner,1995-08-23,2,2018,2019,RB
Shy Tuttle,1995-10-20,2,2019,2020,DL
Nick Usher,1995-01-22,NA,NA,NA,
Andrew Van Ginkel,1995-07-01,2,2019,2020,LB
Jordan Veasy,1995-06-23,NA,NA,NA,WR
Vita Vea,1995-02-05,3,2018,2020,DT
Corey Vereen,1995-06-15,NA,NA,NA,DE
Kendal Vickers,1995-05-23,1,2020,2020,
Azeem Victor,1995-09-19,NA,NA,NA,LB
Andrew Vollert,1995-03-15,NA,NA,NA,TE
Travis Vornkahl,1995-11-05,NA,NA,NA,
Akrum Wadley,1995-03-13,NA,NA,NA,RB
Colby Wadman,1995-04-19,2,2018,2019,P
Corliss Waitman,1995-07-21,NA,NA,NA,
Anthony Walker,1995-08-08,4,2017,2020,MLB
Phillip Walker,1995-02-26,1,2020,2020,QB
Tracy Walker,1995-02-01,3,2018,2020,S
Levi Wallace,1995-06-12,3,2018,2020,CB
Greg Ward,1995-07-12,2,2019,2020,WR
Brandon Watson,1995-07-11,2,2019,2020,DB
Deshaun Watson,1995-09-14,4,2017,2020,QB
Justin Watson,1995-04-04,3,2018,2020,WR
Jester Weah,1995-02-07,NA,NA,NA,WR
Jester Weah,1995-02-07,1,2019,2019,WR
Davis Webb,1995-01-22,NA,NA,NA,QB
David Wells,1995-05-02,NA,NA,NA,TE
Trevon Wesco,1995-09-12,2,2019,2020,TE
Isaiah Wharton,1995-11-01,NA,NA,NA,
Jace Whittaker,1995-07-16,1,2020,2020,
Mike White,1995-03-25,NA,NA,NA,QB
Tre'Davious White,1995-01-16,4,2017,2020,CB
Christian Wilkins,1995-12-20,2,2019,2020,DL
Elijah Wilkinson,1995-02-10,4,2017,2020,OT
Kevin Wilkins,1995-04-10,NA,NA,NA,
Mazzi Wilkins,1995-10-12,2,2019,2020,DB
Darrel Williams,1995-04-15,3,2018,2020,RB
Gerald Willis,1995-08-23,1,2019,2019,DT
Jamaal Williams,1995-04-03,4,2017,2020,RB
Jarveon Williams,1995-01-03,1,2017,2017,HB
Jordan Willis,1995-05-02,4,2017,2020,DE
Jonah Williams,1995-08-17,NA,NA,NA,
Stanley Williams,1995-09-30,NA,NA,NA,RB
Cedrick Wilson,1995-11-20,2,2019,2020,WR
Howard Wilson,1995-10-30,NA,NA,NA,CB
Bobo Wilson,1995-01-25,3,2017,2019,WR
Jeff Wilson,1995-11-16,3,2018,2020,RB
Kyle Wilson,1995-11-02,1,2018,2018,LB
Shaun Wilson,1995-12-02,1,2018,2018,RB
Chase Winovich,1995-04-19,2,2019,2020,EDGE
Anthony Wint,1995-09-14,1,2018,2018,LB
Ahkello Witherspoon,1995-03-21,4,2017,2020,CB
Ethan Wolf,1995-11-07,NA,NA,NA,
John Wolford,1995-10-16,NA,NA,NA,
Logan Woodside,1995-01-27,NA,NA,NA,QB
Xavier Woods,1995-07-26,4,2017,2020,SS
Xavier Woodson-Luster,1995-08-06,2,2017,2018,LB
Chris Worley,1995-09-15,1,2018,2018,OLB
Daryl Worley,1995-02-22,5,2016,2020,CB
Renell Wren,1995-10-23,1,2019,2019,DL
Deon Yelder,1995-03-06,3,2018,2020,TE
Trevon Young,1995-04-01,1,2018,2018,DE
Ishmael Zamora,1995-11-26,NA,NA,NA,WR
Johnathan Abram,1996-10-25,2,2019,2020,S
Josh Adams,1996-10-26,3,2018,2020,RB
Patrick Afriyie,1996-07-20,NA,NA,NA,DE
Freedom Akinmoladun,1996-02-11,2,2019,2020,DE
Otaro Alaka,1996-05-18,1,2020,2020,
Adonis Alexander,1996-11-07,1,2018,2018,
Deontez Alexander,1996-07-25,NA,NA,NA,WR
Joey Alfieri,1996-03-06,NA,NA,NA,
Josh Allen,1996-05-21,3,2018,2020,QB
Kyle Allen,1996-03-08,3,2018,2020,QB
Marcus Allen,1996-08-07,3,2018,2020,S
Nick Allegretti,1996-04-21,2,2019,2020,G
Auzoyah Alufohai,1996-10-16,NA,NA,NA,
Abdullah Anderson,1996-01-24,1,2019,2019,DT
Calvin Anderson,1996-03-25,1,2020,2020,
Rodney Anderson,1996-09-12,NA,NA,NA,RB
Mark Andrews,1996-09-06,3,2018,2020,TE
JJ Arcega-Whiteside,1996-12-31,2,2019,2020,WR
Ka'John Armstrong,1996-05-25,NA,NA,NA,
Ryquell Armstead,1996-10-30,1,2019,2019,RB
Damon Arnette,1996-09-02,1,2020,2020,
George Aston,1996-02-01,NA,NA,NA,
Blessuan Austin,1996-07-19,2,2019,2020,CB
Lee Autry,1996-07-29,NA,NA,NA,
Alex Bachman,1996-05-29,1,2020,2020,
Derrick Baity,1996-12-23,NA,NA,NA,
Budda Baker,1996-01-10,4,2017,2020,FS
Jerome Baker,1996-12-25,3,2018,2020,OLB
Corey Ballentine,1996-04-13,2,2019,2020,CB
Ben Banogu,1996-01-19,2,2019,2020,EDGE
Jake Bargas,1996-11-28,NA,NA,NA,
Derek Barnett,1996-06-25,4,2017,2020,DE
Cody Barton,1996-11-13,2,2019,2020,LB
Zack Baun,1996-12-30,1,2020,2020,
Nick Bawden,1996-06-22,1,2019,2019,RB
Omar Bayless,1996-12-15,NA,NA,NA,
Sam Beal,1996-08-30,1,2019,2019,
Andrew Beck,1996-05-15,2,2019,2020,TE
Nate Becker,1996-03-24,NA,NA,NA,
Drew Belcher,1996-04-18,NA,NA,NA,
LeVante Bellamy,1996-11-28,1,2020,2020,
Quinton Bell,1996-05-09,1,2020,2020,
Elijah Benton,1996-09-05,1,2020,2020,
Ja'Whaun Bentley,1996-08-24,3,2018,2020,ILB
Ian Berryman,1996-06-01,NA,NA,NA,
Rashod Berry,1996-10-14,1,2020,2020,
Saeed Blacknall,1996-03-17,1,2018,2018,WR
Christian Blake,1996-06-08,2,2019,2020,WR
Quin Blanding,1996-05-01,NA,NA,NA,DB
Khari Blasingame,1996-07-01,2,2019,2020,RB
Corey Bojorquez,1996-09-13,3,2018,2020,P
Terrell Bonds,1996-07-22,1,2020,2020,
Jonathan Bonner,1996-06-17,NA,NA,NA,
Reggie Bonnafon,1996-01-04,2,2019,2020,RB
Nick Bowers,1996-05-26,NA,NA,NA,
Dino Boyd,1996-09-02,NA,NA,NA,
Kris Boyd,1996-09-12,2,2019,2020,CB
Miles Boykin,1996-10-12,2,2019,2020,WR
Ja'Marcus Bradley,1996-12-11,NA,NA,NA,
Jacob Breeland,1996-09-20,NA,NA,NA,
Nate Brooks,1996-09-05,1,2019,2019,DB
Nick Brossette,1996-03-02,NA,NA,NA,
Cortez Broughton,1996-09-02,2,2019,2020,DL
Alex Brown,1996-08-30,1,2019,2019,DB
Chris Brown,1996-04-26,NA,NA,NA,
Evan Brown,1996-09-16,2,2019,2020,C
Jake Browning,1996-04-11,NA,NA,NA,
Jordan Brown,1996-03-26,NA,NA,NA,
Kyron Brown,1996-05-26,1,2019,2019,DB
Noah Brown,1996-01-06,3,2017,2020,WR
Orlando Brown Jr.,1996-05-02,3,2018,2020,OT
Austin Bryant,1996-11-12,1,2019,2019,EDGE
Taven Bryan,1996-03-11,3,2018,2020,DT
Ventell Bryant,1996-08-24,1,2019,2019,WR
Isaiah Buggs,1996-08-24,2,2019,2020,DL
Ian Bunting,1996-02-10,NA,NA,NA,
Joe Burrow,1996-12-10,1,2020,2020,
Jake Burt,1996-08-25,NA,NA,NA,
Emmanuel Butler,1996-08-27,NA,NA,NA,WR
Emmanuel Butler,1996-08-27,NA,NA,NA,
Hakeem Butler,1996-05-16,1,2020,2020,WR
Jason Cabinda,1996-03-17,3,2018,2020,ILB
Deon Cain,1996-08-09,2,2019,2020,WR
Yodny Cajuste,1996-02-21,NA,NA,NA,OL
Deion Calhoun,1996-02-20,NA,NA,NA,OL
Shaq Calhoun,1996-02-20,2,2019,2020,G
Jake Carlock,1996-10-02,NA,NA,NA,
Stephen Carlson,1996-12-12,2,2019,2020,TE
Shyheim Carter,1996-12-15,NA,NA,NA,
Blake Cashman,1996-05-10,2,2019,2020,LB
Rashard Causey,1996-09-20,NA,NA,NA,
Andre Chachere,1996-02-10,NA,NA,NA,CB
Sean Chandler,1996-04-27,3,2018,2020,FS
DJ Chark,1996-09-23,3,2018,2020,WR
Geron Christian,1996-09-10,3,2018,2020,OT
Bradley Chubb,1996-06-24,3,2018,2020,DE
Jack Cichy,1996-05-05,3,2018,2020,ILB
Rodney Clemons,1996-12-28,NA,NA,NA,
Josiah Coatney,1996-01-04,NA,NA,NA,
Amari Coleman,1996-10-09,NA,NA,NA,CB
Mason Cole,1996-03-28,3,2018,2020,C
Matt Cole,1996-11-07,NA,NA,NA,
C.J. Conrad,1996-05-09,NA,NA,NA,
Cody Conway,1996-07-09,NA,NA,NA,
Lester Cotton,1996-02-20,1,2019,2019,G
Nathan Cottrell,1996-08-02,1,2020,2020,
Chris Covington,1996-01-03,2,2018,2019,LB
Byron Cowart,1996-05-20,2,2019,2020,DL
Chandler Cox,1996-07-29,2,2019,2020,RB
Jeremy Cox,1996-08-16,1,2020,2020,
Anthony Coyle,1996-11-19,NA,NA,NA,G
Tre' Crawford,1996-09-06,NA,NA,NA,
Randin Crecelius,1996-08-05,NA,NA,NA,G
Keion Crossen,1996-04-17,3,2018,2020,CB
Austin Cutting,1996-10-27,2,2019,2020,LS
Dennis Daley,1996-08-07,2,2019,2020,OL
Marcus Davenport,1996-09-04,3,2018,2020,DE
Ashtyn Davis,1996-10-10,1,2020,2020,
Carlton Davis,1996-12-31,3,2018,2020,CB
Carlos Davis,1996-08-22,NA,NA,NA,
Davion Davis,1996-10-23,1,2019,2019,WR
Jalen Davis,1996-02-02,2,2018,2019,CB
Javaris Davis,1996-12-26,NA,NA,NA,
Khalil Davis,1996-08-22,NA,NA,NA,
Nate Davis,1996-09-23,2,2019,2020,OL
Tae Davis,1996-08-14,3,2018,2020,LB
Duke Dawson,1996-10-03,2,2019,2020,CB
Jamel Dean,1996-10-15,2,2019,2020,CB
Michael Deiter,1996-09-03,2,2019,2020,OL
Jamil Demby,1996-06-20,1,2019,2019,OT
Stephen Denmark,1996-04-20,NA,NA,NA,
Michael Dickson,1996-01-04,3,2018,2020,P
Kano Dillon,1996-01-10,NA,NA,NA,TE
Joe Dineen,1996-03-26,NA,NA,NA,
Ben DiNucci,1996-11-24,1,2020,2020,
Will Dissly,1996-07-08,3,2018,2020,TE
Michael Dogbe,1996-05-05,1,2019,2019,DL
Jake Dolegala,1996-10-07,NA,NA,NA,
Kendall Donnerson,1996-04-22,NA,NA,NA,OLB
Drake Dorbeck,1996-10-07,NA,NA,NA,
Keelan Doss,1996-03-21,2,2019,2020,WR
Kevin Dotson,1996-09-18,1,2020,2020,
Andrew Dowell,1996-11-16,NA,NA,NA,
O'Shea Dugas,1996-09-22,NA,NA,NA,
Kyle Dugger,1996-03-22,1,2020,2020,
Jonathan Duhart,1996-06-26,NA,NA,NA,
Eric Dungey,1996-06-12,NA,NA,NA,
Troy Dye,1996-09-18,1,2020,2020,
Dominik Eberle,1996-07-04,NA,NA,NA,
Chase Edmonds,1996-04-13,3,2018,2020,RB
Javier Edwards,1996-10-27,NA,NA,NA,
Mike Edwards,1996-05-18,2,2019,2020,S
T.J. Edwards,1996-08-12,NA,NA,NA,
T.J. Edwards,1996-08-12,2,2019,2020,LB
Emeke Egbule,1996-10-13,2,2019,2020,LB
Dieter Eiselen,1996-06-10,NA,NA,NA,
Ben Ellefson,1996-09-01,1,2020,2020,
Emmanuel Ellerbee,1996-11-20,1,2018,2018,LB
Jordan Ellis,1996-03-22,NA,NA,NA,
Kabion Ento,1996-01-03,NA,NA,NA,
Marcus Epps,1996-01-27,2,2019,2020,S
Donnie Ernsberger,1996-10-13,1,2018,2018,TE
Austin Exford,1996-05-16,NA,NA,NA,
Breiden Fehoko,1996-10-15,NA,NA,NA,
Mark Fields II,1996-10-10,2,2019,2020,CB
Chris Finke,1996-05-02,NA,NA,NA,
Minkah Fitzpatrick,1996-11-04,3,2018,2020,FS
Nick Fitzgerald,1996-01-14,NA,NA,NA,QB
Nick Fitzgerald,1996-01-14,NA,NA,NA,
Demetrius Flannigan-Fowles,1996-09-04,1,2020,2020,
Dimitri Flowers,1996-01-20,NA,NA,NA,FB
Cody Ford,1996-12-28,2,2019,2020,OL
Isaiah Ford,1996-02-09,3,2018,2020,WR
D'Onta Foreman,1996-04-24,3,2017,2020,RB
Jack Fox,1996-09-01,1,2020,2020,
John Franklin-Myers,1996-09-26,2,2018,2020,DE
Jordan Franks,1996-01-01,1,2018,2018,HB
Sam Franklin,1996-02-02,1,2020,2020,
Zaire Franklin,1996-07-02,3,2018,2020,LB
Royce Freeman,1996-02-24,3,2018,2020,RB
Hjalte Froholdt,1996-08-20,1,2020,2020,OL
Rico Gafford,1996-05-23,3,2018,2020,WR
Russell Gage,1996-01-22,3,2018,2020,WR
Lamont Gaillard,1996-02-08,1,2020,2020,OL
Greg Gaines,1996-05-06,2,2019,2020,DL
Michael Gallup,1996-04-04,3,2018,2020,WR
Joe Gaziano,1996-09-27,NA,NA,NA,
Zach Gentry,1996-09-10,1,2019,2019,TE
Jeff Gladney,1996-12-12,1,2020,2020,
Jordan Glasgow,1996-06-28,1,2020,2020,
Dan Godsil,1996-08-19,NA,NA,NA,LS
Dan Godsil,1996-08-19,NA,NA,NA,
Chris Godwin,1996-02-27,4,2017,2020,WR
Terry Godwin,1996-10-23,NA,NA,NA,WR
Matt Gono,1996-05-10,2,2019,2020,T
DeAndre Goolsby,1996-06-12,NA,NA,NA,TE
Carl Granderson,1996-12-18,2,2019,2020,DE
J.T. Gray,1996-01-18,3,2018,2020,DB
Marcus Green,1996-08-13,NA,NA,NA,
Nakia Griffin-Stewart,1996-11-12,NA,NA,NA,
Grant Haley,1996-01-06,2,2018,2019,CB
Darrin Hall,1996-09-06,NA,NA,NA,
Nate Hall,1996-04-06,1,2020,2020,
Terez Hall,1996-11-18,NA,NA,NA,
Arlington Hambright,1996-01-30,1,2020,2020,
Blake Hance,1996-01-11,NA,NA,NA,
Kelvin Harmon,1996-12-15,1,2019,2019,WR
Ajene Harris,1996-06-01,NA,NA,NA,
Chase Harrell,1996-05-16,NA,NA,NA,
Darius Harris,1996-01-17,NA,NA,NA,
Jonathan Harris,1996-08-04,1,2019,2019,DE
Penny Hart,1996-07-05,1,2020,2020,
Willie Harvey,1996-01-09,1,2019,2019,LB
Jamycal Hasty,1996-09-12,1,2020,2020,
Taylor Hearn,1996-01-11,1,2018,2018,OG
Charlie Heck,1996-11-20,NA,NA,NA,
Quadree Henderson,1996-09-12,1,2018,2018,WR
Hale Hentges,1996-08-19,1,2019,2019,TE
Chris Herndon,1996-02-23,3,2018,2020,TE
Tre Herndon,1996-03-05,3,2018,2020,CB
Karan Higdon,1996-09-08,NA,NA,NA,RB
Karan Higdon,1996-09-08,NA,NA,NA,
John Hightower,1996-05-31,1,2020,2020,
Nyheim Hines,1996-11-12,3,2018,2020,RB
Devlin Hodges,1996-04-12,1,2019,2019,QB
Sterling Hofrichter,1996-12-05,1,2020,2020,
Cole Holcomb,1996-07-30,2,2019,2020,LB
Alijah Holder,1996-01-26,NA,NA,NA,CB
Alijah Holder,1996-01-26,1,2019,2019,DB
Alexander Hollins,1996-11-24,1,2019,2019,WR
Justin Hollins,1996-01-15,2,2019,2020,EDGE
Jalyn Holmes,1996-01-25,3,2018,2020,DE
Elijah Hood,1996-04-22,1,2017,2017,RB
Malik Hooker,1996-04-02,4,2017,2020,FS
Mike Horton,1996-10-07,NA,NA,NA,
Travin Howard,1996-05-10,1,2019,2019,OLB
Tytus Howard,1996-05-23,2,2019,2020,
Buddy Howell,1996-03-27,3,2018,2020,RB
Braxton Hoyett,1996-02-05,1,2020,2020,
Michael Hughes,1996-04-03,NA,NA,NA,DT
Marlon Humphrey,1996-07-08,4,2017,2020,CB
Robert Hunt,1996-08-25,1,2020,2020,
Jalen Hurd,1996-01-23,NA,NA,NA,
John Hurst,1996-11-02,NA,NA,NA,
Alec Ingold,1996-07-09,2,2019,2020,FB
Andy Isabella,1996-11-18,2,2019,2020,WR
Thomas Ives,1996-06-25,NA,NA,NA,
Cordel Iwuagwu,1996-09-04,NA,NA,NA,
Josh Jackson,1996-04-03,3,2018,2020,CB
Joe Jackson,1996-12-20,2,2019,2020,EDGE
Craig James,1996-04-29,3,2018,2020,CB
Derwin James,1996-08-03,2,2018,2019,SS
Damion Jeanpiere,1996-12-08,NA,NA,NA,
Malik Jefferson,1996-11-15,3,2018,2020,OLB
Van Jefferson,1996-07-26,1,2020,2020,
Jalen Jelks,1996-08-03,NA,NA,NA,EDGE
D'Ernest Johnson,1996-02-27,2,2019,2020,RB
Diontae Johnson,1996-07-05,2,2019,2020,WR
Justin Johnson,1996-11-08,NA,NA,NA,
Juwan Johnson,1996-09-13,1,2020,2020,
KeeSean Johnson,1996-10-09,2,2019,2020,WR
Kylan Johnson,1996-12-23,NA,NA,NA,
P.J. Johnson,1996-06-14,NA,NA,NA,
Taron Johnson,1996-07-27,3,2018,2020,CB
Tyron Johnson,1996-01-08,1,2020,2020,
Charles Jones,1996-08-05,1,2019,2019,TE
Jamarco Jones,1996-06-04,2,2019,2020,OT
Sam Jones,1996-02-21,1,2018,2018,OG
Sidney Jones,1996-05-21,4,2017,2020,CB
Travis Jonsen,1996-10-16,NA,NA,NA,
Azur Kamara,1996-01-01,NA,NA,NA,
Kingsley Keke,1996-09-26,2,2019,2020,DL
John Kelly,1996-10-04,2,2018,2019,RB
Kameron Kelly,1996-08-19,NA,NA,NA,
Kameron Kelly,1996-08-19,1,2019,2019,DB
Tom Kennedy,1996-07-29,1,2019,2019,WR
Arden Key,1996-05-03,3,2018,2020,DE
Christian Kirk,1996-11-18,3,2018,2020,WR
Luther Kirk,1996-11-07,NA,NA,NA,
DeShone Kizer,1996-01-03,2,2017,2018,QB
Dawson Knox,1996-11-04,2,2019,2020,TE
Jonathan Kongbo,1996-03-19,NA,NA,NA,
Tejan Koroma,1996-04-27,NA,NA,NA,OL
J.J. Koski,1996-12-27,NA,NA,NA,
Jordan Kunaszyk,1996-10-15,1,2019,2019,LB
Chris Lacy,1996-01-28,2,2018,2019,WR
Chris Lammons,1996-01-31,1,2019,2019,DB
Harold Landry,1996-06-05,3,2018,2020,OLB
Jaquarius Landrews,1996-09-15,NA,NA,NA,
Jerome Lane,1996-03-09,NA,NA,NA,WR
Jordan Lasley,1996-11-13,NA,NA,NA,WR
Marshon Lattimore,1996-05-19,4,2017,2020,CB
Elijah Lee,1996-02-08,4,2017,2020,OLB
John Leglue,1996-04-17,NA,NA,NA,
Rick Leonard,1996-11-22,NA,NA,NA,OT
Donnie Lewis,1996-07-21,NA,NA,NA,
Alex Light,1996-05-02,2,2018,2019,T
Toa Lobendahn,1996-02-14,NA,NA,NA,
Drew Lock,1996-11-10,2,2019,2020,QB
John Lovett,1996-04-25,1,2020,2020,
Jake Luton,1996-04-11,NA,NA,NA,
Frankie Luvu,1996-09-19,3,2018,2020,LB
Tyler Mabry,1996-11-21,NA,NA,NA,
Isaiah Mack,1996-03-19,2,2019,2020,DT
Ledarius Mack,1996-10-03,NA,NA,NA,
Marlon Mack,1996-03-07,4,2017,2020,RB
Avonte Maddox,1996-03-31,3,2018,2020,CB
Josh Malone,1996-03-21,4,2017,2020,WR
Trey Marshall,1996-02-13,3,2018,2020,S
Wes Martin,1996-05-05,2,2019,2020,G
Ross Matiscik,1996-09-13,1,2020,2020,
Christian McCaffrey,1996-06-07,4,2017,2020,RB
Ray-Ray McCloud,1996-10-15,3,2018,2020,WR
Rob McCray,1996-03-24,1,2019,2019,LB
KC McDermott,1996-04-18,1,2020,2020,OL
Malik McDowell,1996-06-20,NA,NA,NA,DT
Taj McGowan,1996-12-30,NA,NA,NA,
R.J. McIntosh,1996-06-02,2,2018,2019,DT
Colton McKivitz,1996-08-09,1,2020,2020,
Chase McLaughlin,1996-04-09,1,2019,2019,K
Quenton Meeks,1996-06-20,1,2018,2018,CB
Eli Mencer,1996-11-14,NA,NA,NA,
Jakobi Meyers,1996-11-09,2,2019,2020,WR
Joshua Miles,1996-01-04,1,2019,2019,OT
Christian Miller,1996-06-16,1,2019,2019,EDGE
Gardner Minshew II,1996-05-16,2,2019,2020,QB
Joe Mixon,1996-07-24,4,2017,2020,RB
David Moa,1996-06-14,NA,NA,NA,
Jovante Moffatt,1996-12-25,1,2020,2020,
D.J. Montgomery,1996-11-17,NA,NA,NA,
D.J. Montgomery,1996-11-17,NA,NA,NA,
Kamrin Moore,1996-10-01,1,2018,2018,CB
Tarvarius Moore,1996-08-16,3,2018,2020,S
Stanley Morgan Jr.,1996-09-07,1,2019,2019,WR
Emmanuel Moseley,1996-03-25,3,2018,2020,CB
Jamey Mosley,1996-03-28,NA,NA,NA,
Tanner Muse,1996-09-06,NA,NA,NA,
Sam Mustipher,1996-08-13,1,2020,2020,
Alexander Myres,1996-04-20,NA,NA,NA,
Nik Needham,1996-11-04,2,2019,2020,DB
Nick Nelson,1996-10-16,2,2018,2019,CB
Picasso Nelson,1996-04-15,NA,NA,NA,
Quenton Nelson,1996-03-19,3,2018,2020,OG
Bilal Nichols,1996-09-14,3,2018,2020,DT
Yosuah Nijman,1996-01-02,1,2020,2020,
David Njoku,1996-07-10,4,2017,2020,TE
Derrick Nnadi,1996-05-09,3,2018,2020,DT
Josh Nurse,1996-07-17,NA,NA,NA,
Uchenna Nwosu,1996-12-28,3,2018,2020,OLB
George Obinna,1996-08-23,NA,NA,NA,
Chidi Okeke,1996-12-26,NA,NA,NA,
Bobby Okereke,1996-07-29,2,2019,2020,LB
Isaiah Oliver,1996-09-30,3,2018,2020,CB
Qadree Ollison,1996-09-08,2,2019,2020,RB
Gunner Olszewski,1996-11-26,2,2019,2020,WR
Iosua Opeta,1996-08-15,1,2020,2020,
Amani Oruwariye,1996-02-09,2,2019,2020,CB
Devine Ozigbo,1996-10-02,2,2019,2020,RB
Walter Palmore,1996-08-09,NA,NA,NA,
Chris Peace,1996-02-08,1,2019,2019,DE
Rashaad Penny,1996-02-02,2,2018,2019,RB
Bryce Perkins,1996-12-20,NA,NA,NA,
Jamal Peters,1996-12-22,NA,NA,NA,CB
Del'Shawn Phillips,1996-10-09,1,2020,2020,
Harrison Phillips,1996-01-25,3,2018,2020,DT
Adarius Pickett,1996-09-05,NA,NA,NA,
Artavis Pierce,1996-05-17,1,2020,2020,
James Pierre,1996-09-16,1,2020,2020,
Danny Pinter,1996-06-19,1,2020,2020,
Trey Pipkins,1996-09-05,2,2019,2020,OT
Anthony Pittman,1996-11-24,1,2019,2019,LB
Ryan Pope,1996-10-17,NA,NA,NA,OL
Ryan Pope,1996-10-17,NA,NA,NA,
Benning Potoa'e,1996-09-17,NA,NA,NA,
Ben Powers,1996-10-29,2,2019,2020,OL
Brandon Powell,1996-09-12,2,2018,2020,WR
Germaine Pratt,1996-05-21,2,2019,2020,LB
James Proche,1996-09-21,1,2020,2020,
Austin Proehl,1996-06-17,NA,NA,NA,WR
Frank Ragnow,1996-05-17,3,2018,2020,C
Wyatt Ray,1996-10-24,NA,NA,NA,
Jeremy Reaves,1996-08-29,2,2018,2019,FS
Devine Redding,1996-02-05,NA,NA,NA,RB
Sheldrick Redwine,1996-11-06,2,2019,2020,S
D.J. Reed,1996-11-11,3,2018,2020,CB
J.R. Reed,1996-03-11,NA,NA,NA,
Malik Reed,1996-08-05,2,2019,2020,LB
John Reid,1996-05-15,1,2020,2020,
Craig Reynolds,1996-06-15,1,2019,2019,RB
Giovanni Ricci,1996-10-16,NA,NA,NA,
Will Richardson,1996-01-04,2,2019,2020,OT
Riley Ridley,1996-07-21,1,2019,2019,WR
Greg Roberts,1996-03-21,NA,NA,NA,
D'Angelo Ross,1996-10-29,NA,NA,NA,
Bravvion Roy,1996-10-18,1,2020,2020,
Anthony Rush,1996-09-01,2,2019,2020,NT
Brett Rypien,1996-07-09,1,2020,2020,QB
Tavonn Salter,1996-03-01,NA,NA,NA,
Drew Sample,1996-04-16,2,2019,2020,TE
Curtis Samuel,1996-08-11,4,2017,2020,WR
Deebo Samuel,1996-01-15,2,2019,2020,WR
Jaylen Samuels,1996-07-20,3,2018,2020,RB
Christian Sam,1996-06-07,NA,NA,NA,ILB
Khalen Saunders,1996-08-09,2,2019,2020,DT
Ira Savage-Lewis,1996-02-06,NA,NA,NA,
Tegray Scales,1996-05-10,NA,NA,NA,OLB
