player,birthday,yrs,from,to,team
John Grahame,1975-08-31,8,2000,2008,"BOS,TBL,CAR"
Ryan Kesler,1984-08-31,15,2004,2019,"VAN,ANA"
Bryce Lampman,1982-08-31,3,2004,2007,NYR
Guy Larose,1967-08-31,5,1989,1994,"WIN,TOR,CGY"
Radek Martinek,1976-08-31,12,2002,2014,"NYI,CBJ"
Alexei Mikhnov,1982-08-31,0,2007,2007,EDM
Bob Mongrain,1959-08-31,6,1980,1986,"BUF,LAK"
Scott Niedermayer*,1973-08-31,18,1992,2010,"NJD,MDA,ANA"
Kent Nilsson,1956-08-31,15,1980,1995,"ATF,CGY,MNS,EDM"
Gerry O'Flaherty,1950-08-31,7,1972,1979,"TOR,VAN,ATF"
Ondrej Pavelec,1987-08-31,10,2008,2018,"ATL,WPG,NYR"
Lyle Phair,1961-08-31,2,1986,1988,LAK
Ellie Pringle,1911-08-31,0,1931,1931,NYA
Steve Regier,1984-08-31,3,2006,2009,"NYI,STL"
Mike Stuart,1980-08-31,2,2004,2006,STL
Andrei Trefilov,1969-08-31,6,1993,1999,"CGY,BUF,CHI"
Blake Wheeler,1986-08-31,11,2009,2020,"BOS,ATL,WPG"
Ron Zanussi,1956-08-31,4,1978,1982,"MNS,TOR"
Brian Bellows,1964-09-01,16,1983,1999,"MNS,MTL,TBL,MDA,WSH"
Rich Chernomaz,1963-09-01,10,1982,1992,"CLR,NJD,CGY"
Dale DeGray,1963-09-01,4,1986,1990,"CGY,TOR,LAK,BUF"
Doug Friedman,1971-09-01,1,1998,1999,"EDM,NSH"
Alan Haworth,1960-09-01,7,1981,1988,"BUF,WSH,QUE"
Otto Koivula,1998-09-01,0,2020,2020,NYI
Dave Lumley,1954-09-01,8,1979,1987,"MTL,EDM,HAR"
Norm Maciver,1964-09-01,11,1987,1998,"NYR,HAR,EDM,OTT,PIT,WIN,PHX"
Nathan MacKinnon,1995-09-01,6,2014,2020,COL
Tomas Nosek,1992-09-01,4,2016,2020,"DET,VEG"
Gustav Nyquist,1989-09-01,8,2012,2020,"DET,SJS,CBJ"
Rollie Paulhus,1902-09-01,0,1926,1926,MTL
Rod Pelley,1984-09-01,5,2007,2012,"NJD,ANA"
Didier Pitre*,1883-09-01,5,1918,1923,MTL
Lauri Tukonen,1986-09-01,1,2007,2008,LAK
Alexei Vasiliev,1977-09-01,0,2000,2000,NYR
Jimmy Ward,1906-09-01,11,1928,1939,"MTM,MTL"
Jeff Woywitka,1983-09-01,6,2006,2012,"STL,DAL,NYR"
Harry Zolnierczyk,1987-09-01,5,2012,2017,"PHI,PIT,NYI,ANA,NSH"
Mats Zuccarello,1987-09-01,9,2011,2020,"NYR,DAL,MIN"
Aleksander Barkov,1995-09-02,6,2014,2020,FLA
Michel Belhumeur,1949-09-02,3,1973,1976,"PHI,WSH"
Jason Blake,1973-09-02,13,1999,2012,"LAK,NYI,TOR,ANA"
Erik Brannstrom,1999-09-02,1,2019,2020,OTT
Gerard Gallant,1963-09-02,10,1985,1995,"DET,TBL"
Bobby Gould,1957-09-02,10,1980,1990,"ATF,CGY,WSH,BOS"
Red Goupille,1915-09-02,7,1936,1943,MTL
Paul Guay,1963-09-02,7,1984,1991,"PHI,LAK,BOS,NYI"
Petr Hubacek,1979-09-02,0,2001,2001,PHI
Don Jackson,1956-09-02,9,1978,1987,"MNS,EDM,NYR"
Jay Leach,1979-09-02,5,2006,2011,"BOS,TBL,NJD,MTL,SJS"
Eetu Luostarinen,1998-09-02,0,2020,2020,CAR
Ivan Majesky,1976-09-02,3,2003,2006,"FLA,ATL,WSH"
Stephane Matteau,1969-09-02,12,1991,2003,"CGY,CHI,NYR,STL,SJS,FLA"
Brian McGrattan,1981-09-02,9,2006,2015,"OTT,PHX,CGY,NSH"
Kevin Miller,1965-09-02,15,1989,2004,"NYR,DET,STL,WSH,SJS,PIT,CHI,NYI,OTT"
Garrett Mitchell,1991-09-02,0,2017,2017,WSH
Mike Peluso,1974-09-02,2,2002,2004,"CHI,PHI"
Dany Sabourin,1980-09-02,5,2004,2009,"CGY,PIT,VAN"
Sami Salo,1974-09-02,15,1999,2014,"OTT,VAN,TBL"
Glen Sather*,1943-09-02,9,1967,1976,"BOS,PIT,NYR,STL,MTL,MNS"
Doug Smail,1957-09-02,12,1981,1993,"WIN,MNS,QUE,OTT"
Stan Smrke,1928-09-02,1,1957,1958,MTL
Mario Tremblay,1956-09-02,11,1975,1986,MTL
Cliff Barton,1907-09-03,10,1930,1940,"PTP,PHQ,NYR"
Doug Bentley*,1916-09-03,14,1940,1954,"CBH,NYR"
Marc Boileau,1932-09-03,0,1962,1962,DET
Gerry Brisson,1937-09-03,0,1963,1963,MTL
Rob Conn,1968-09-03,4,1992,1996,"CHI,BUF"
Toni Dahlman,1979-09-03,1,2002,2003,OTT
Ron Delorme,1955-09-03,8,1977,1985,"CLR,VAN"
Jacques Deslauriers,1928-09-03,0,1956,1956,MTL
Martin Gerber,1974-09-03,8,2003,2011,"MDA,CAR,OTT,TOR,EDM"
George Grigor,1916-09-03,0,1944,1944,CBH
Cristobal Huet,1975-09-03,7,2003,2010,"LAK,MTL,WSH,CHI"
Gary Jarrett,1942-09-03,11,1961,1972,"TOR,DET,OAK,CGS"
Fred Knipscheer,1969-09-03,2,1994,1996,"BOS,STL"
Matthew Konan,1991-09-03,0,2013,2013,PHI
Gerry Meehan,1946-09-03,10,1969,1979,"PHI,TOR,BUF,ATF,VAN,WSH"
James Neal,1987-09-03,11,2009,2020,"DAL,PIT,NSH,VEG,CGY,EDM"
Jaroslav Obsut,1976-09-03,1,2001,2002,"STL,COL"
Jed Ortmeyer,1978-09-03,8,2004,2012,"NYR,NSH,SJS,MIN"
Michal Rozsival,1978-09-03,17,2000,2017,"PIT,NYR,PHX,CHI"
Tim Sheehy,1948-09-03,2,1978,1980,"DET,HAR"
Brian Spencer,1949-09-03,9,1970,1979,"TOR,NYI,BUF,PIT"
Martin Straka,1972-09-03,15,1993,2008,"PIT,OTT,FLA,NYI,LAK,NYR"
Greg Theberge,1959-09-03,4,1980,1984,WSH
Maxim Afinogenov,1979-09-04,10,2000,2010,"BUF,ATL"
Butch Bouchard*,1919-09-04,14,1942,1956,MTL
Craig Conroy,1971-09-04,16,1995,2011,"MTL,STL,CGY,LAK"
Ray Gariepy,1928-09-04,2,1954,1956,"BOS,TOR"
Len Hachborn,1961-09-04,2,1984,1986,"PHI,LAK"
Jeff Hamilton,1977-09-04,5,2004,2009,"NYI,CHI,CAR,TOR"
Alex Hicks,1969-09-04,4,1996,2000,"MDA,PIT,FLA,SJS"
Magnus Johansson,1973-09-04,0,2008,2008,"CHI,FLA"
Wayne King,1951-09-04,2,1974,1976,CGS
Alan Letang,1975-09-04,3,2000,2003,"DAL,CGY,NYI"
Cliff Malone,1925-09-04,0,1952,1952,MTL
Sergio Momesso,1965-09-04,13,1984,1997,"MTL,STL,VAN,NYR,TOR"
Bert Olmstead*,1926-09-04,13,1949,1962,"CBH,MTL,TOR"
Matt Pelech,1987-09-04,5,2009,2014,"CGY,SJS"
Rags Raglan,1927-09-04,2,1951,1953,"DET,CBH"
Jerome Samson,1987-09-04,2,2010,2012,CAR
Tomas Sandstrom,1964-09-04,14,1985,1999,"NYR,LAK,PIT,DET,MDA"
Jim Schoenfeld,1952-09-04,12,1973,1985,"BUF,DET,BOS"
Paul Shakes,1952-09-04,0,1974,1974,CGS
Niklas Svedberg,1989-09-04,1,2014,2015,BOS
Pascal Trepanier,1973-09-04,5,1998,2003,"COL,MDA,NSH"
John Vanbiesbrouck,1963-09-04,20,1982,2002,"NYR,FLA,PHI,NJD,NYI"
Peter Bartos,1973-09-05,0,2001,2001,MIN
Filip Chytil,1999-09-05,2,2018,2020,NYR
Dave Dryden,1941-09-05,18,1962,1980,"NYR,CBH,BUF,EDM"
Henry Dyck,1912-09-05,0,1944,1944,NYR
John Ferguson,1938-09-05,7,1964,1971,MTL
Mark Ferner,1965-09-05,8,1987,1995,"BUF,WSH,MDA,DET"
Harrison Gray,1941-09-05,0,1964,1964,DET
Alexandre Grenier,1991-09-05,1,2016,2017,VAN
Lloyd Gross,1905-09-05,8,1927,1935,"TOR,BOS,DET,NYA"
Murray Henderson,1921-09-05,7,1945,1952,BOS
Bill Hogaboam,1949-09-05,7,1973,1980,"ATF,DET,MNS"
Stan Jonathan,1955-09-05,7,1976,1983,"BOS,PIT"
Blaine Lacher,1970-09-05,1,1995,1996,BOS
Don Maloney,1958-09-05,12,1979,1991,"NYR,HAR,NYI"
Ken Mann,1953-09-05,0,1976,1976,DET
Scott Parse,1984-09-05,2,2010,2012,LAK
Ryan Potulny,1984-09-05,5,2006,2011,"PHI,EDM,CHI,OTT"
Craig Smith,1989-09-05,8,2012,2020,NSH
Lucas Wallmark,1995-09-05,3,2017,2020,"CAR,FLA"
Wayne Bianchin,1953-09-06,6,1974,1980,"PIT,EDM"
Brian Dumoulin,1991-09-06,6,2014,2020,PIT
Patrick Fischer,1975-09-06,0,2007,2007,PHX
Rolly Huard,1902-09-06,0,1931,1931,TOR
Ivan Huml,1981-09-06,2,2002,2004,BOS
Danny Irmen,1984-09-06,0,2010,2010,MIN
Igor Korolev,1970-09-06,11,1993,2004,"STL,WIN,PHX,TOR,CHI"
Paul Ladue,1992-09-06,3,2017,2020,LAK
Kilby MacDonald,1914-09-06,5,1940,1945,NYR
Red Mitchell,1912-09-06,3,1942,1945,CBH
Todd Okerlund,1964-09-06,0,1988,1988,NYI
Pavel Patera,1971-09-06,1,2000,2001,"DAL,MIN"
Bill Root,1959-09-06,5,1983,1988,"MTL,TOR,PHI,STL"
Glen Sharpley,1956-09-06,5,1977,1982,"MNS,CBH"
Brian Smith,1940-09-06,1,1968,1969,"LAK,MNS"
Gene Achtymichuk,1932-09-07,7,1952,1959,"MTL,DET"
Douglas Adam,1923-09-07,0,1950,1950,NYR
Warren Babe,1968-09-07,3,1988,1991,MNS
Nicholas Caamano,1998-09-07,0,2020,2020,DAL
Matt Cooke,1978-09-07,16,1999,2015,"VAN,WSH,PIT,MIN"
Shawn Evans,1965-09-07,4,1986,1990,"STL,NYI"
Eric Fehr,1985-09-07,13,2006,2019,"WSH,WPG,PIT,TOR,SJS,MIN"
Orland Kurtenbach,1936-09-07,13,1961,1974,"NYR,BOS,TOR,VAN"
Sasha Lakovic,1971-09-07,2,1997,1999,"CGY,NJD"
Jacques Lemaire*,1945-09-07,11,1968,1979,MTL
Andrew MacDonald,1986-09-07,10,2009,2019,"NYI,PHI"
Paul Mara,1979-09-07,12,1999,2011,"TBL,PHX,BOS,NYR,MTL,ANA"
Paul Marshall,1960-09-07,3,1980,1983,"PIT,TOR,HAR"
Bryan Maxwell,1955-09-07,7,1978,1985,"MNS,STL,WIN,PIT"
Lindsay Middlebrook,1955-09-07,3,1980,1983,"WIN,MNS,EDM,NJD"
John Mokosak,1963-09-07,1,1989,1990,DET
Baldy Northcott,1908-09-07,10,1929,1939,"MTM,CBH"
Chris Oddleifson,1950-09-07,8,1973,1981,"BOS,VAN"
Gino Odjick,1970-09-07,11,1991,2002,"VAN,NYI,PHI,MTL"
Aaron Palushaj,1989-09-07,3,2011,2014,"MTL,COL,CAR"
Jeff Parker,1964-09-07,4,1987,1991,"BUF,HAR"
Dusan Pasek,1960-09-07,0,1989,1989,MNS
Larry Romanchych,1949-09-07,6,1971,1977,"CBH,ATF"
Duncan Siemens,1993-09-07,3,2015,2018,COL
Tony Tanti,1963-09-07,10,1982,1992,"CBH,VAN,PIT,BUF"
Rob Zepp,1981-09-07,0,2015,2015,PHI
Dwight Bialowas,1952-09-08,3,1974,1977,"ATF,MNS"
Reid Boucher,1993-09-08,5,2014,2019,"NJD,NSH,VAN"
Paul DiPietro,1970-09-08,5,1992,1997,"MTL,TOR,LAK"
Tyler Eckford,1985-09-08,1,2010,2011,NJD
Bill Gooden,1923-09-08,1,1943,1944,NYR
Joe Junkin,1946-09-08,0,1969,1969,BOS
Michal Kempny,1990-09-08,3,2017,2020,"CHI,WSH"
Ralph MacSweyn,1942-09-08,4,1968,1972,PHI
Bud Maracle,1904-09-08,0,1931,1931,NYR
Trent McCleary,1972-09-08,4,1996,2000,"OTT,BOS,MTL"
Jack McIntyre,1930-09-08,10,1950,1960,"BOS,CBH,DET"
Jay McKee,1977-09-08,14,1996,2010,"BUF,STL,PIT"
Nino Niederreiter,1992-09-08,9,2011,2020,"NYI,MIN,CAR"
Teddy Purcell,1985-09-08,9,2008,2017,"LAK,TBL,EDM,FLA"
Pierre Sevigny,1971-09-08,4,1994,1998,"MTL,NYR"
Marco Sturm,1978-09-08,14,1998,2012,"SJS,BOS,LAK,WSH,FLA,VAN"
Rogie Vachon*,1945-09-08,15,1967,1982,"MTL,LAK,DET,BOS"
Viv Allen,1916-09-09,0,1941,1941,NYA
Bob Baun,1936-09-09,16,1957,1973,"TOR,OAK,DET"
Corrie D'Alessio,1969-09-09,0,1993,1993,HAR
Josh Gratton,1982-09-09,3,2006,2009,"PHI,PHX"
Kevin Hatcher,1966-09-09,16,1985,2001,"WSH,DAL,PIT,NYR,CAR"
Trent Kaese,1967-09-09,0,1989,1989,BUF
Alexander Khokhlachev,1993-09-09,2,2014,2016,BOS
Ed Nicholson,1923-09-09,0,1948,1948,DET
Hickey Nicholson,1911-09-09,0,1938,1938,CBH
Mattias Ohlund,1976-09-09,13,1998,2011,"VAN,TBL"
Nelson Pyatt,1953-09-09,6,1974,1980,"DET,WSH,CLR"
Lee Sorochan,1975-09-09,1,1999,2000,CGY
Keith Yandle,1986-09-09,13,2007,2020,"PHX,ARI,NYR,FLA"
Dave Feamster,1958-09-10,3,1982,1985,CBH
Rob Holland,1957-09-10,1,1980,1981,PIT
Tim Hunter,1960-09-10,15,1982,1997,"CGY,QUE,VAN,SJS"
Chris Joseph,1969-09-10,13,1988,2001,"EDM,PIT,TBL,VAN,PHI,PHX,ATL"
Corban Knight,1990-09-10,5,2014,2019,"CGY,FLA,PHI"
Staffan Kronwall,1982-09-10,4,2006,2010,"TOR,WSH,CGY"
Gordon Mark,1964-09-10,8,1987,1995,"NJD,EDM"
Carson McMillan,1988-09-10,3,2011,2014,MIN
Kevin Miehm,1969-09-10,1,1993,1994,STL
Joe Nieuwendyk*,1966-09-10,20,1987,2007,"CGY,DAL,NJD,TOR,FLA"
Pete Palangio,1908-09-10,11,1927,1938,"MTL,DTC,CBH"
Robert Palmer,1956-09-10,6,1978,1984,"LAK,NJD"
Jim Pappin,1939-09-10,13,1964,1977,"TOR,CBH,CGS,CLE"
Denis Pederson,1975-09-10,7,1996,2003,"NJD,VAN,PHX,NSH"
Sergei Petrenko,1968-09-10,0,1994,1994,BUF
Peter Ratchuk,1977-09-10,2,1999,2001,FLA
Paul Runge,1908-09-10,7,1931,1938,"BOS,MTM,MTL"
Jordan Staal,1988-09-10,13,2007,2020,"PIT,CAR"
Troy Terry,1997-09-10,2,2018,2020,ANA
Yvon Vautour,1956-09-10,5,1980,1985,"NYI,CLR,NJD,QUE"
Brian Watts,1947-09-10,0,1976,1976,DET
Craig Billington,1966-09-11,17,1986,2003,"NJD,OTT,BOS,COL,WSH"
Buddy Boone,1932-09-11,0,1958,1958,BOS
Gord Brooks,1950-09-11,3,1972,1975,"STL,WSH"
Mike Byers,1946-09-11,4,1968,1972,"TOR,PHI,LAK,BUF"
Tony Camazzola,1962-09-11,0,1982,1982,WSH
Mike Comrie,1980-09-11,10,2001,2011,"EDM,PHI,PHX,OTT,NYI,PIT"
Marc Dufour,1941-09-11,5,1964,1969,"NYR,LAK"
Sean Gagnon,1973-09-11,3,1998,2001,"PHX,OTT"
Gus Kyle,1923-09-11,2,1950,1952,"NYR,BOS"
Shep Mayer,1923-09-11,0,1943,1943,TOR
Butch Paul,1943-09-11,0,1965,1965,DET
Andre Petersson,1990-09-11,0,2012,2012,OTT
Barry Richter,1970-09-11,5,1996,2001,"NYR,BOS,NYI,MTL"
Garth Rizzuto,1947-09-11,0,1971,1971,VAN
Ben Scrivens,1986-09-11,4,2012,2016,"TOR,EDM,LAK,MTL"
Glen Seabrooke,1967-09-11,2,1987,1989,PHI
Konstantin Shafranov,1968-09-11,0,1997,1997,STL
Frank Simonetti,1962-09-11,3,1985,1988,BOS
Zack Stortini,1985-09-11,5,2007,2012,"EDM,NSH"
Garry Swain,1947-09-11,0,1969,1969,PIT
Teuvo Teravainen,1994-09-11,6,2014,2020,"CHI,CAR"
Scott Timmins,1989-09-11,2,2011,2013,FLA
Wes Trainor,1922-09-11,0,1949,1949,NYR
J.P. Vigier,1976-09-11,6,2001,2007,ATL
Butch Williams,1952-09-11,2,1974,1976,"STL,CGS"
Jaret Anderson-Dolan,1999-09-12,1,2019,2020,LAK
Marcel Bonin,1932-09-12,9,1953,1962,"DET,BOS,MTL"
Shawn Byram,1968-09-12,1,1991,1992,"NYI,CHI"
Tommy Cross,1989-09-12,0,2016,2016,BOS
Bob Davie,1912-09-12,2,1934,1936,BOS
Norm Dube,1951-09-12,1,1975,1976,KCS
Martin Lapointe,1973-09-12,16,1992,2008,"DET,BOS,CHI,OTT"
Ryan Lomberg,1994-09-12,1,2018,2019,CGY
Joe Lundrigan,1948-09-12,2,1973,1975,"TOR,WSH"
Earl Miller,1905-09-12,4,1928,1932,"CBH,TOR"
Mike Murphy,1950-09-12,11,1972,1983,"STL,NYR,LAK"
Neil Nicholson,1949-09-12,5,1973,1978,NYI
Paul Ranger,1984-09-12,8,2006,2014,"TBL,TOR"
Josef Vasicek,1980-09-12,7,2001,2008,"CAR,NSH,NYI"
Ron Ward,1944-09-12,2,1970,1972,"TOR,VAN"
Patrick Wiercioch,1990-09-12,6,2011,2017,"OTT,COL"
Craig Cunningham,1990-09-13,2,2014,2016,"BOS,ARI"
Harold Darragh,1902-09-13,7,1926,1933,"PTP,BOS,PHQ,TOR"
Brandon DeFazio,1988-09-13,0,2015,2015,VAN
Ted Drury,1971-09-13,7,1994,2001,"CGY,HAR,OTT,MDA,NYI,CBJ"
Turner Elson,1992-09-13,0,2016,2016,CGY
Alex Formenton,1999-09-13,1,2018,2019,OTT
Emile Francis*,1926-09-13,5,1947,1952,"CBH,NYR"
Scott Gruhl,1959-09-13,6,1982,1988,"LAK,PIT"
Mark Jankowski,1994-09-13,3,2017,2020,CGY
Adrian Kempe,1996-09-13,3,2017,2020,LAK
Igor Kravchuk,1966-09-13,11,1992,2003,"CHI,EDM,STL,OTT,CGY,FLA"
Art Lesieur,1907-09-13,7,1929,1936,"CBH,MTL"
Dave Reece,1948-09-13,0,1976,1976,BOS
Craig Rivet,1974-09-13,16,1995,2011,"MTL,SJS,BUF,CBJ"
Don Simmons,1931-09-13,12,1957,1969,"BOS,TOR,NYR"
Don Smillie,1910-09-13,0,1934,1934,BOS
Phil Stein,1913-09-13,0,1940,1940,TOR
Shay Stephenson,1983-09-13,0,2007,2007,LAK
Alexandre Texier,1999-09-13,1,2019,2020,CBJ
Jose Theodore,1976-09-13,17,1996,2013,"MTL,COL,WSH,MIN,FLA"
Reto Von Arx,1976-09-13,0,2001,2001,CHI
Miles Wood,1995-09-13,4,2016,2020,NJD
Travis Boyd,1993-09-14,2,2018,2020,WSH
Harold Brown,1920-09-14,0,1946,1946,NYR
David Desharnais,1986-09-14,8,2010,2018,"MTL,EDM,NYR"
Chris Evans,1946-09-14,5,1970,1975,"TOR,BUF,STL,DET,KCS"
Todd Flichel,1964-09-14,2,1988,1990,WIN
Gus Giesebrecht,1917-09-14,3,1939,1942,DET
Alex Killorn,1989-09-14,7,2013,2020,TBL
Orest Kindrachuk,1950-09-14,9,1973,1982,"PHI,PIT,WSH"
Jason King,1981-09-14,5,2003,2008,"VAN,ANA"
Tom Kurvers,1962-09-14,10,1985,1995,"MTL,BUF,NJD,TOR,VAN,NYI,MDA"
Craig Laughlin,1957-09-14,7,1982,1989,"MTL,WSH,LAK,TOR"
Per Ledin,1978-09-14,0,2009,2009,COL
Mike Lenarduzzi,1972-09-14,1,1993,1994,HAR
Olivier Michaud,1983-09-14,0,2002,2002,MTL
Brad Palmer,1961-09-14,2,1981,1983,"MNS,BOS"
Petr Prucha,1982-09-14,5,2006,2011,"NYR,PHX"
Travis Scott,1975-09-14,0,2001,2001,LAK
Christian Soucy,1970-09-14,0,1994,1994,CHI
Layne Ulmer,1980-09-14,0,2004,2004,NYR
Mick Vukota,1966-09-14,10,1988,1998,"NYI,MTL,TBL"
Peter Ambroziak,1971-09-15,0,1995,1995,BUF
Derek Bekar,1975-09-15,4,2000,2004,"STL,LAK,NYI"
Dusty Blair,1929-09-15,0,1951,1951,TOR
Richard Brodeur,1952-09-15,8,1980,1988,"NYI,VAN,HAR"
Fred Brown,1900-09-15,0,1928,1928,MTM
Mike Greenlay,1968-09-15,0,1990,1990,EDM
Len Haley,1931-09-15,1,1960,1961,DET
Ken Houston,1953-09-15,8,1976,1984,"ATF,CGY,WSH,LAK"
Bernie Johnston,1956-09-15,1,1980,1981,HAR
Ralph Klassen,1955-09-15,8,1976,1984,"CGS,CLE,CLR,STL"
Jerry Korab,1948-09-15,14,1971,1985,"CBH,BUF,VAN,LAK"
Mike Korney,1953-09-15,5,1974,1979,"DET,NYR"
Bob Liddington,1948-09-15,0,1971,1971,TOR
Patrick Marleau,1979-09-15,22,1998,2020,"SJS,TOR,PIT"
Tom McCarthy,1934-09-15,4,1957,1961,"DET,BOS"
Mike Pandolfo,1979-09-15,0,2004,2004,CBJ
Alf Pike,1917-09-15,7,1940,1947,NYR
Gerry Pinder,1948-09-15,2,1970,1972,"CBH,CGS"
Marek Posmyk,1978-09-15,1,2000,2001,TBL
Joel Quenneville,1958-09-15,12,1979,1991,"TOR,CLR,NJD,HAR,WSH"
Emory Sparrow,1898-09-15,0,1925,1925,BOS
David Wolf,1989-09-15,0,2015,2015,CGY
John Chad,1919-09-16,6,1940,1946,CBH
Mike Dwyer,1957-09-16,3,1979,1982,"CLR,CGY"
Pierre Hamel,1952-09-16,6,1975,1981,"TOR,WIN"
Braden Holtby,1989-09-16,9,2011,2020,WSH
Rick Lanz,1961-09-16,11,1981,1992,"VAN,TOR,CHI"
Kevin LaVallee,1961-09-16,6,1981,1987,"CGY,LAK,STL,PIT"
Anthony Mantha,1994-09-16,4,2016,2020,DET
Gerry Melnyk,1934-09-16,8,1960,1968,"DET,CBH,STL"
Jack Miller,1925-09-16,1,1950,1951,CBH
Dan Olesevich,1937-09-16,0,1962,1962,NYR
Jaroslav Otevrel,1968-09-16,1,1993,1994,SJS
Larry Sacharuk,1952-09-16,4,1973,1977,"NYR,STL"
George Senick,1929-09-16,0,1953,1953,NYR
Patrik Stefan,1980-09-16,7,2000,2007,"ATL,DAL"
Paul Terbenche,1945-09-16,6,1968,1974,"CBH,BUF"
Brady Tkachuk,1999-09-16,1,2019,2020,OTT
Dustin Tokarski,1989-09-16,7,2010,2017,"TBL,MTL,ANA"
Gord Turlik,1939-09-16,0,1960,1960,BOS
Matt Underhill,1979-09-16,0,2004,2004,CHI
Eric Vail,1953-09-16,8,1974,1982,"ATF,CGY,DET"
Bob Wren,1974-09-16,4,1998,2002,"MDA,TOR"
Scott Arniel,1962-09-17,10,1982,1992,"WIN,BUF,BOS"
Zac Bierk,1976-09-17,6,1998,2004,"TBL,MIN,PHX"
Marc-Andre Bourdon,1989-09-17,0,2012,2012,PHI
Michael Bunting,1995-09-17,0,2019,2019,ARI
Gene Carr,1951-09-17,7,1972,1979,"NYR,STL,LAK,PIT,ATF"
Chris Cichocki,1963-09-17,3,1986,1989,"DET,NJD"
Michael Dark,1963-09-17,1,1987,1988,STL
Mario Ferraro,1998-09-17,0,2020,2020,SJS
Yutaka Fukufuji,1982-09-17,0,2007,2007,LAK
Jay Henderson,1978-09-17,2,1999,2001,BOS
Shawn Horcoff,1978-09-17,15,2001,2016,"EDM,DAL,ANA"
Frank Ingram,1907-09-17,2,1930,1932,CBH
Sheldon Keefe,1980-09-17,2,2001,2003,TBL
Jan Ludvig,1961-09-17,6,1983,1989,"NJD,BUF"
Auston Matthews,1997-09-17,3,2017,2020,TOR
Grant Mulvey,1956-09-17,9,1975,1984,"CBH,NJD"
Garth Murray,1982-09-17,5,2004,2009,"NYR,MTL,FLA,PHX"
Alex Ovechkin,1985-09-17,14,2006,2020,WSH
Nikolai Prokhorkin,1993-09-17,0,2020,2020,LAK
Claude Provost,1933-09-17,14,1956,1970,MTL
Mason Raymond,1985-09-17,9,2008,2017,"VAN,TOR,CGY,ANA"
Clarence Schmidt,1925-09-17,0,1944,1944,BOS
Egor Yakovlev,1991-09-17,0,2019,2019,NJD
Rob Zamuner,1969-09-17,12,1992,2004,"NYR,TBL,OTT,BOS"
Valeri Zelepukin,1968-09-17,9,1992,2001,"NJD,EDM,PHI,CHI"
Ralph Backstrom,1937-09-18,16,1957,1973,"MTL,LAK,CBH"
Jack Bionda,1933-09-18,3,1956,1959,"TOR,BOS"
Paul Brousseau,1973-09-18,5,1996,2001,"COL,TBL,FLA"
Peter Budaj,1982-09-18,13,2006,2019,"COL,MTL,LAK,TBL"
Tom Chorske,1966-09-18,10,1990,2000,"MTL,NJD,OTT,NYI,CGY,WSH,PIT"
Bun Cook*,1903-09-18,10,1927,1937,"NYR,BOS"
Bill Dineen,1932-09-18,4,1954,1958,"DET,CBH"
Richard Grenier,1952-09-18,0,1973,1973,NYI
Kelly Kisio,1959-09-18,12,1983,1995,"DET,NYR,SJS,CGY"
Lasse Kukkonen,1981-09-18,5,2004,2009,"CHI,PHI"
Ray Macias,1986-09-18,2,2009,2011,COL
Al Millar,1929-09-18,0,1958,1958,BOS
Andrew Miller,1988-09-18,1,2015,2016,EDM
Angelo Moretto,1953-09-18,0,1977,1977,CLE
Chad Penney,1973-09-18,0,1994,1994,OTT
Jared Ross,1982-09-18,1,2009,2010,PHI
Kent Ruhnke,1952-09-18,0,1976,1976,BOS
Darryl Sittler*,1950-09-18,14,1971,1985,"TOR,PHI,DET"
Carl Smith,1917-09-18,0,1944,1944,DET
Peter Stastny*,1956-09-18,14,1981,1995,"QUE,NJD,STL"
Cam Stewart,1971-09-18,7,1994,2001,"BOS,FLA,MIN"
Conor Timmins,1998-09-18,0,2020,2020,COL
Brock Trotter,1987-09-18,0,2010,2010,MTL
Roger Wilson,1946-09-18,0,1975,1975,CBH
Don Beaupre,1961-09-19,16,1981,1997,"MNS,WSH,OTT,TOR"
Andre Boudrias,1943-09-19,12,1964,1976,"MTL,MNS,CBH,STL,VAN"
Dan Bylsma,1970-09-19,8,1996,2004,"LAK,MDA"
Andre Champagne,1943-09-19,0,1963,1963,TOR
Odie Cleghorn,1891-09-19,9,1919,1928,"MTL,PTP"
Scott Daniels,1969-09-19,6,1993,1999,"HAR,PHI,NJD"
Gilbert Dionne,1970-09-19,5,1991,1996,"MTL,PHI,FLA"
Rick DiPietro,1981-09-19,12,2001,2013,NYI
Andre Gill,1941-09-19,0,1968,1968,BOS
Jonas Johansson,1995-09-19,0,2020,2020,BUF
Luke Johnson,1994-09-19,1,2019,2020,"CHI,MIN"
Michael Kapla,1994-09-19,0,2017,2017,NJD
Mario Kempe,1988-09-19,1,2018,2019,ARI
Milan Marcetta,1936-09-19,1,1968,1969,MNS
Jack McGill,1920-09-19,5,1942,1947,BOS
Nolan Patrick,1998-09-19,1,2018,2019,PHI
Joni Pitkanen,1983-09-19,9,2004,2013,"PHI,EDM,CAR"
Daniel Poulin,1957-09-19,0,1982,1982,MNS
Nick Spaling,1988-09-19,6,2010,2016,"NSH,PIT,SJS,TOR"
Mikael Tellqvist,1979-09-19,6,2003,2009,"TOR,PHX,BUF"
Antti Tormanen,1970-09-19,0,1996,1996,OTT
Ed Westfall,1940-09-19,17,1962,1979,"BOS,NYI"
Jason Bacashihua,1982-09-20,1,2006,2007,STL
