player,birthday,yrs,from,to,month,day,country
David Joseph,1967-09-29,7,1992,1999,9,29,USA
Kenneth Joseph,1916-05-03,12,1939,1951,5,3,USA
Luis Pascual,1956-10-23,0,1978,1978,10,23,D.R.
Tomas Roberto,1945-10-14,2,1970,1972,10,14,D.R.
Albert,1921-10-07,4,1950,1954,10,7,USA
William Anthony,1971-11-28,5,1995,2000,11,28,USA
Aloysius Harry,1902-05-22,20,1924,1944,5,22,USA
Andrelton A.,1989-09-04,7,2012,2019,9,4,Curacao
Brian Lee,1973-09-04,3,1998,2001,9,4,USA
Curtis Thomas,1929-05-19,20,1947,1967,5,19,USA
George Washington,1885-01-29,5,1910,1915,1,29,USA
Joseph S.,1845-06-13,4,1871,1875,6,13,USA
John Earl,1924-07-07,0,1949,1949,7,7,USA
Lewis,1838-08-27,NA,NA,NA,8,27,USA
Nelson Bernard,1963-06-27,3,1984,1987,6,27,USA
Patrick Clement,1908-11-29,1,1928,1929,11,29,USA
Shae Austin,1990-09-03,3,2014,2017,9,3,USA
Ted Lyle,1949-08-09,20,1968,1988,8,9,USA
Michael Howard,1967-01-12,9,1990,1999,1,12,USA
Alfredo,1981-05-08,8,2008,2016,5,8,D.R.
Douglas Eugene,1966-09-15,1,1991,1992,9,15,USA
Henry Joseph,1862-08-25,3,1887,1890,8,25,USA
Jason William,1973-11-13,5,2002,2007,11,13,USA
Melbern Ellis,1900-07-01,1,1931,1932,7,1,USA
Michael Edward,1883-04-13,6,1909,1915,4,13,USA
Randall Carlito,1975-05-25,9,1997,2006,5,25,Curacao
Sylvester Adam,1897-12-14,1,1923,1924,12,14,USA
Larry Allan,1977-08-26,2,2004,2006,8,26,USA
Richard Charles,1943-07-28,7,1962,1969,7,28,USA
Thomas Leo,1927-09-15,0,1953,1953,9,15,USA
Harry Leon,1925-12-03,8,1951,1959,12,3,USA
Joe Allen,1951-12-31,8,1975,1983,12,31,USA
Steven Edward,1948-08-30,0,1972,1972,8,30,USA
Wayne Kirby,1948-12-02,7,1970,1977,12,2,USA
Duane B.,1941-06-05,10,1964,1974,6,5,USA
Gregory Emmett,1946-06-28,0,1966,1966,6,28,USA
Lucas Sundberg,1994-05-10,2,2017,2019,5,10,USA
Clarence,1891-05-24,0,1915,1915,5,24,USA
Matthew Stephen,1960-03-22,11,1981,1992,3,22,USA
Steven Scott,1971-08-02,1,1998,1999,8,2,CAN
Herbert Sylvester,1887-09-08,0,1908,1908,9,8,CAN
Hosea John,1885-03-20,0,1909,1909,3,20,USA
William Robert,1944-04-24,13,1964,1977,4,24,USA
Christopher Verdell,1972-08-15,6,1999,2005,8,15,USA
Duane Earl,1972-08-06,2,1994,1996,8,6,USA
Bert Elmer,1918-06-26,14,1945,1959,6,26,USA
John Edward,1896-11-27,0,1922,1922,11,27,USA
Jonathan Lee,1991-09-18,1,2014,2015,9,18,USA
Kenneth Wayne,1947-06-10,14,1970,1984,6,10,USA
Frederic William,1910-02-24,5,1934,1939,2,24,USA
Brett Allen,1984-12-26,0,2010,2010,12,26,USA
Richard Francis,1923-01-16,0,1945,1945,1,16,USA
John White,1946-08-29,0,1969,1969,8,29,USA
Tony Marcel,1983-07-12,10,2009,2019,7,12,USA
Michael Robert,1971-05-13,5,1995,2000,5,13,USA
Andrew Frank,1983-01-13,2,2005,2007,1,13,USA
Chance Thomas Leo,1995-02-24,2,2017,2019,2,24,USA
Steven Michael,1969-12-02,0,2000,2000,12,2,USA
Douglas Randall,1957-09-26,9,1982,1991,9,26,USA
Tommie Wayne,1942-04-12,8,1962,1970,4,12,USA
David Michael,1931-10-16,6,1956,1962,10,16,USA
Richard Allan,1920-11-02,7,1946,1953,11,2,USA
George Harold,1893-03-24,15,1915,1930,3,24,USA
Sebastian Daniel,1920-07-26,15,1939,1954,7,26,USA
Charles Vedder,1881-09-22,0,1909,1909,9,22,USA
Peter,1913-09-23,2,1936,1938,9,23,USA
James Gerard,1958-09-20,2,1982,1984,9,20,USA
Edward,1863-02-26,0,1884,1884,2,26,USA
Grady,1982-08-02,11,2004,2015,8,2,USA
Scott Daniel,1985-01-04,4,2010,2014,1,4,USA
Theodore Crawford,1945-04-15,11,1969,1980,4,15,USA
Francis Michael,1910-09-30,8,1935,1943,9,30,USA
David Lindsey,1951-06-12,3,1977,1980,6,12,USA
Tyler Wayne,1991-07-13,7,2012,2019,7,13,USA
Joseph Douglas,1964-09-26,0,1989,1989,9,26,USA
David Wendell,1940-01-10,0,1957,1957,1,10,USA
David L.,1891-12-29,0,1910,1910,12,29,USA
Harry Clement,1919-03-30,0,1942,1942,3,30,CAN
Robert Roe,1945-10-30,0,1970,1970,10,30,USA
William Franklin,1895-10-16,5,1921,1926,10,16,USA
Robert Ralph,1931-10-03,12,1954,1966,10,3,USA
Elisha Harrison,1897-06-25,1,1922,1923,6,25,USA
Joel Patrick,1961-02-21,8,1983,1991,2,21,USA
Kyle Trent,1990-03-01,0,2013,2013,3,1,USA
Louis Peter,1932-06-02,3,1956,1959,6,2,USA
Eric L.,1992-10-26,2,2017,2019,10,26,USA
Craig Richard,1947-09-01,6,1973,1979,9,1,USA
Matthew Thomas,1989-07-30,1,2018,2019,7,30,USA
John S.,1880-05-08,2,1901,1903,5,8,USA
William Joseph,1930-12-18,13,1954,1967,12,18,USA
Matthew Leland,1972-11-06,0,2000,2000,11,6,USA
Robert Jacob,1957-10-08,1,1982,1983,10,8,USA
Arthur W.,1859-10-28,0,1884,1884,10,28,USA
Gordon Leigh,1904-10-09,5,1930,1935,10,9,USA
James Franklin,1873-07-11,9,1899,1908,7,11,USA
Roger Lee,1953-11-04,0,1979,1979,11,4,USA
Walter Jennings,1878-12-15,0,1910,1910,12,15,USA
Anthony Thomas,1984-01-06,1,2010,2011,1,6,USA
Daniel Alexander,1992-05-24,0,2017,2017,5,24,USA
Cyril Charles,1886-03-23,7,1911,1918,3,23,USA
John Henry,1898-08-08,0,1920,1920,8,8,USA
Austin Thomas,1992-12-13,2,2017,2019,12,13,USA
Douglas,1980-02-04,6,2006,2012,2,4,USA
James Michael,1950-06-19,15,1971,1986,6,19,USA
John Thomas,1878-01-06,8,1901,1909,1,6,USA
Michael J.,1866-11-26,7,1884,1891,11,26,USA
Philip Richard,1893-02-25,0,1915,1915,2,25,USA
Byron Atkins,1884-10-06,0,1910,1910,10,6,USA
Donald Martin,1958-09-11,15,1982,1997,9,11,USA
Enos Bradsher,1916-04-27,21,1938,1959,4,27,USA
Sterling Feore,1941-11-18,0,1964,1964,11,18,USA
William Grover,1948-02-21,2,1972,1974,2,21,USA
Elbert,1901-10-05,0,1926,1926,10,5,USA
Foster Herbert,1902-04-26,0,1928,1928,4,26,USA
Louis Mortimer,1926-09-08,8,1950,1958,9,8,USA
Terrmel,1977-03-18,3,2004,2007,3,18,USA
Aaron Allan,1992-09-04,2,2017,2019,9,4,USA
Bruce Adams,1914-10-04,0,1944,1944,10,4,USA
Yale Yeastman,1890-12-24,6,1913,1919,12,24,USA
Dwain Clifford,1918-12-01,1,1948,1949,12,1,USA
Brian John,1981-03-27,2,2006,2008,3,27,USA
Heath,1966-06-07,9,1991,2000,6,7,USA
Ronald Reece,1945-07-02,2,1969,1971,7,2,USA
Kevin Michael,1984-05-04,7,2007,2014,5,4,USA
Joseph Andrew,1966-12-19,10,1991,2001,12,19,USA
Craig Lee,1962-06-19,0,1988,1988,6,19,USA
Aaron James,1971-11-23,12,1994,2006,11,23,USA
Charles Albert,1905-10-24,0,1930,1930,10,24,USA
George Henry,1953-07-31,0,1978,1978,7,31,USA
James Arthur Patrick,1937-03-08,3,1955,1958,3,8,USA
Mark Allan,1967-11-12,0,1996,1996,11,12,USA
Roy Frederick,1926-06-09,10,1948,1958,6,9,USA
Roy Frederick,1952-10-25,12,1975,1987,10,25,USA
Walter Clayton,1893-04-24,2,1917,1919,4,24,USA
William Darwin,1871-06-27,1,1890,1891,6,27,USA
Jon David,1973-11-12,2,1999,2001,11,12,USA
Joseph Paul,1923-07-07,0,1946,1946,7,7,USA
Devin Paul,1995-09-07,0,2019,2019,9,7,USA
John Patrick,1965-03-17,11,1986,1997,3,17,USA
Alfred Kendricks,1903-12-13,0,1926,1926,12,13,USA
Alfred John,1907-10-12,11,1934,1945,10,12,USA
Alphonse Eugene,1928-02-07,11,1953,1964,2,7,USA
Arthur Laird,1906-06-21,0,1932,1932,6,21,USA
Calvin Bernard,1941-09-04,1,1970,1971,9,4,USA
William Garland,1934-06-08,4,1958,1962,6,8,USA
Billy Edward,1953-07-14,6,1975,1981,7,14,USA
Billy Lavern,1954-09-13,0,1981,1981,9,13,USA
Blake Matthew,1987-12-09,0,2016,2016,12,9,USA
Robert Ashley,1890-07-19,2,1913,1915,7,19,USA
Robert Eldridge,1895-04-22,14,1923,1937,4,22,USA
Robert Gilchrist,1930-02-01,4,1955,1959,2,1,USA
Bobby Gene,1934-05-28,8,1957,1965,5,28,USA
Robert Walkup,1928-05-13,1,1958,1959,5,13,USA
Robert Eugene,1974-05-10,4,1998,2002,5,10,USA
Bryn Nelson,1955-08-11,12,1981,1993,8,11,USA
Brick Dudley,1959-05-02,1,1987,1988,5,2,USA
Randall Brian,1972-07-19,0,2000,2000,7,19,USA
Lewis Oscar,1880-08-20,2,1904,1906,8,20,USA
Robert Allan,1979-10-23,1,2001,2002,10,23,USA
Burch Taylor,1990-04-12,6,2013,2019,4,12,USA
Emanuel Carr,1901-04-08,1,1923,1924,4,8,USA
Carson Donald,1989-10-19,4,2014,2018,10,19,USA
Caleb Anthony,1991-07-28,2,2017,2019,7,28,USA
Charles J.,1840-12-11,0,1871,1871,12,11,USA
Charles Edwin,1880-04-20,12,1902,1914,4,20,USA
John William,1892-12-02,0,1913,1913,12,2,USA
Charles William,1937-09-15,9,1960,1969,9,15,USA
Christopher William,1957-07-18,2,1981,1983,7,18,USA
Charles Edward,1969-10-21,1,2000,2001,10,21,USA
Christopher Michael,1981-04-09,9,2008,2017,4,9,USA
Chad Dennis,1989-10-02,1,2014,2015,10,2,USA
Christopher Patrick,1988-08-19,0,2017,2017,8,19,USA
Clay Jamieson,1914-09-11,2,1938,1940,9,11,USA
David Merwin,1914-12-17,1,1938,1939,12,17,USA
David Stanley,1955-01-21,12,1980,1992,1,21,USA
David Wayne,1957-08-30,1,1984,1985,8,30,USA
Daryl Clinton,1960-07-29,0,1990,1990,7,29,USA
Daniel Scott,1969-04-20,2,1992,1994,4,20,USA
Daniel Charles,1975-09-15,4,1999,2003,9,15,USA
Richard Harrison,1927-07-21,4,1951,1955,7,21,USA
Richard Arthur,1939-05-17,2,1963,1965,5,17,USA
Richard Kelly,1944-08-25,0,1969,1969,8,25,USA
Douglass Weldon,1892-05-25,0,1912,1912,5,25,USA
Dominic David Rene,1995-06-15,2,2017,2019,6,15,USA
Andrew David,1993-09-24,0,2018,2018,9,24,USA
John Dwight,1963-11-08,7,1989,1996,11,8,USA
John Dwight,1992-10-26,2,2017,2019,10,26,USA
Earl Leonard,1891-01-20,6,1916,1922,1,20,USA
Earl Sutton,1897-02-14,11,1919,1930,2,14,USA
Earl Calvin,1928-03-14,0,1955,1955,3,14,USA
Edgar Eugene,1862-06-12,7,1883,1890,6,12,USA
Albert Edward,1860-10-15,0,1883,1883,10,15,USA
Rhesa Edward,1879-02-21,0,1906,1906,2,21,USA
Edgar,1913-12-14,11,1936,1947,12,14,USA
Edgar Alexander,1863-11-02,0,1884,1884,11,2,CAN
Elmer Ellsworth,1868-03-23,15,1886,1901,3,23,USA
Elmer John,1892-09-21,11,1914,1925,9,21,USA
Ernest Henry,1899-10-11,0,1930,1930,10,11,USA
Frank L.,1857-11-24,0,1884,1884,11,24,CAN
Frank Elmer,1879-10-28,11,1904,1915,10,28,USA
Frederick,1878-11-24,0,1907,1907,11,24,USA
Fred Vincent,1891-07-29,4,1913,1917,7,29,USA
Frank Thomas,1928-04-04,6,1950,1956,4,4,USA
George J.,1859-04-20,14,1884,1898,4,20,USA
George Allen,1892-05-31,7,1916,1923,5,31,USA
George Selby,1901-10-27,4,1926,1930,10,27,USA
George Cornelius,1937-07-07,3,1963,1966,7,7,USA
Gregory Alan,1967-04-05,2,1989,1991,4,5,USA
Gregory Thomas,1983-12-22,2,2008,2010,12,22,USA
Harry W.,1856-02-05,12,1877,1889,2,5,USA
Harvey Fetterhoff,1871-07-24,0,1896,1896,7,24,USA
Harry Thomas,1874-10-31,9,1901,1910,10,31,United Kingdom
Henry Joseph,1883-07-14,0,1910,1910,7,14,USA
Harrison Morton,1889-08-15,0,1912,1912,8,15,USA
James Harry,1890-05-15,4,1914,1918,5,15,USA
Harold Laverne,1902-06-30,3,1932,1935,6,30,USA
Harold Wayne,1930-12-07,9,1955,1964,12,7,USA
Harold Raymond,1931-06-01,9,1956,1965,6,1,USA
George Henry,1871-10-24,6,1897,1903,10,24,USA
Hilton Lee,1907-02-27,NA,NA,NA,2,27,USA
Jacob John,1887-06-10,0,1911,1911,6,10,USA
John Joseph,1893-08-08,0,1912,1912,8,8,USA
Jack,1895-06-23,14,1915,1929,6,23,USA
Jack Hatfield,1935-11-15,2,1962,1964,11,15,USA
Jason William,1977-07-24,8,2001,2009,7,24,USA
Jacob Matthew,1990-06-02,0,2016,2016,6,2,USA
James Lawrence,1895-05-15,8,1914,1922,5,15,USA
James Lorne,1954-09-08,0,1982,1982,9,8,USA
Salvatore Joseph,1893-12-29,0,1913,1913,12,29,USA
John Marshall,1906-09-27,0,1931,1931,9,27,USA
Joseph Michael,1984-03-22,12,2007,2019,3,22,USA
Jordan L.,1986-02-04,1,2010,2011,2,4,USA
Joshua Allen,1987-08-07,4,2015,2019,8,7,USA
Joshua Dwayne,1989-10-11,0,2019,2019,10,11,USA
Judson Grant,1869-01-13,8,1893,1901,1,13,USA
Keith Lavarne,1953-05-03,3,1977,1980,5,3,USA
Kenneth Earl,1958-02-12,2,1981,1983,2,12,USA
Patrick Keith,1961-10-20,1,1984,1985,10,20,USA
Kevan Alan,1988-06-28,3,2016,2019,6,28,USA
Armstrong Frederick,1887-01-04,0,1912,1912,1,4,United Kingdom
Lionel H.,1859-05-13,0,1890,1890,5,13,USA
Lee Arthur,1957-12-04,17,1980,1997,12,4,USA
Lonnie,1955-12-22,16,1978,1994,12,22,USA
Edward Mayo,1915-01-17,0,1945,1945,1,17,USA
Mark Christopher,1955-11-23,0,1983,1983,11,23,USA
Mark Edward,1970-05-07,9,1994,2003,5,7,USA
Matthew Joel,1979-06-15,1,2006,2007,6,15,USA
Mallex Lydell,1993-05-06,3,2016,2019,5,6,USA
Elwood Hope,1904-11-16,0,1926,1926,11,16,USA
Milton,1929-03-27,0,1955,1955,3,27,USA
Billy Mike,1955-01-21,7,1982,1989,1,21,USA
Michael Anthony,1961-02-23,5,1984,1989,2,23,USA
Michael Anthony,1963-10-31,1,1989,1990,10,31,USA
Michael Anthony,1977-09-19,4,2002,2006,9,19,USA
Murphy,1987-08-25,0,2018,2018,8,25,USA
Nathaniel Beverly,1935-04-26,0,1962,1962,4,26,USA
Orlin Hudson,1865-10-19,0,1894,1894,10,19,USA
Osborne Earl,1954-12-26,18,1978,1996,12,26,USA
Paul Stoner,1888-05-07,0,1916,1916,5,7,USA
Lawrence Patrick,1894-05-16,0,1920,1920,5,16,USA
Paul Leslie,1931-03-19,5,1953,1958,3,19,USA
Peter Luke,1940-03-19,1,1962,1963,3,19,USA
Peter John,1966-02-27,11,1987,1998,2,27,USA
John Francis,1864-12-12,7,1884,1891,12,12,USA
Charles Marvin,1856-10-12,11,1880,1891,10,12,CAN
Clarence Ossie,1892-05-23,4,1913,1917,5,23,USA
Raymond Edward,1955-09-18,2,1981,1983,9,18,USA
Rex,1861-01-04,0,1886,1886,1,4,USA
James Carlisle,1890-04-06,8,1911,1919,4,6,USA
Willard Jehu,1892-04-11,1,1917,1918,4,11,USA
Marvin Harold,1899-07-17,0,1925,1925,7,17,USA
Richard Paul,1904-05-18,0,1927,1927,5,18,USA
Carl Reginald,1945-04-02,16,1966,1982,4,2,USA
LeRoy Purdy,1961-09-06,7,1984,1991,9,6,USA
Roger Craig,1966-03-21,1,1993,1994,3,21,USA
Walter Roy,1976-05-18,1,2001,2002,5,18,USA
Rufus Frazier,1905-01-24,0,1927,1927,1,24,USA
Garry Seth,1982-09-30,10,2007,2017,9,30,USA
Sherrod Malone,1891-02-18,16,1911,1927,2,18,USA
Samuel J.,1868-03-19,0,1888,1888,3,19,USA
James Abner,1873-11-24,0,1898,1898,11,24,USA
Stephen Lydell,1978-09-01,0,2003,2003,9,1,USA
Sydney A.,1883-08-31,7,1908,1915,8,31,USA
Thomas Edward,1871-12-05,4,1894,1898,12,5,USA
Anthony,1884-05-14,4,1907,1911,5,14,USA
Tommy Alexander,1948-08-01,4,1973,1977,8,1,USA
Travis William,1972-11-07,8,1998,2006,11,7,USA
Tyler Douglas,1991-07-01,0,2017,2017,7,1,USA
Vincent Ambrose,1915-12-07,5,1941,1946,12,7,USA
Wallace Henry,1888-03-13,3,1911,1914,3,13,USA
Wilbur Floyd,1886-08-30,0,1909,1909,8,30,USA
Willie,1939-02-11,8,1963,1971,2,11,USA
Willie Everett,1967-08-27,0,1994,1994,8,27,USA
William Michael,1989-07-10,7,2012,2019,7,10,USA
William Dills,1995-03-28,0,2019,2019,3,28,USA
Zane William,1960-12-28,12,1984,1996,12,28,USA
Justin Kyle,1986-12-05,9,2010,2019,12,5,USA
Joshua Michael,1988-11-26,2,2016,2018,11,26,USA
Jacob Michael,1989-02-09,4,2014,2018,2,9,USA
Clyde Hetrick,1914-04-17,0,1940,1940,4,17,USA
John Andrew,1967-05-15,21,1988,2009,5,15,USA
Homer Vernon,1878-03-23,4,1902,1906,3,23,USA
Henry Neitz,1890-04-25,0,1912,1912,4,25,USA
Frank John,1889-10-13,0,1916,1916,10,13,USA
Todd Andrew,1989-06-13,7,2012,2019,6,13,USA
Clarence Melvin,1921-05-24,0,1944,1944,5,24,USA
William Henry,1904-10-24,5,1929,1934,10,24,USA
James Daniel,1891-01-30,3,1915,1918,1,30,USA
Steven Delton,1978-06-03,0,2002,2002,6,3,USA
Ryan Delbert,1979-02-08,0,2004,2004,2,8,USA
Esix,1976-06-07,2,2002,2004,6,7,USA
Cy R.,1992-10-01,0,2019,2019,10,1,USA
Blake Ashton,1992-12-04,3,2016,2019,12,4,USA
Charles Anthony,1893-11-29,0,1912,1912,11,29,USA
Christopher Doyle,1981-12-03,6,2002,2008,12,3,USA
Ian Dante,1981-10-30,6,2004,2010,10,30,USA
Nathaniel,1952-09-02,3,1984,1987,9,2,USA
Walter Henry,1889-05-19,0,1913,1913,5,19,USA
Donald Marek,1992-05-29,0,2018,2018,5,29,USA
Edwin Donald,1926-09-19,17,1947,1964,9,19,USA
Travis James,1988-02-02,7,2008,2015,2,2,USA
Van Voorhees,1963-08-11,1,1988,1989,8,11,USA
Wyatt Eure,1896-10-28,0,1923,1923,10,28,USA
Brian Gerald,1955-10-17,NA,NA,NA,10,17,USA
Amzie Beal,1870-03-18,0,1901,1901,3,18,USA
Frederick Charles,1887-10-19,8,1908,1916,10,19,USA
Scott Andrew,1989-09-20,0,2014,2014,9,20,USA
Frank Walter,1949-03-28,0,1973,1973,3,28,USA
Christopher Charles,1970-09-20,3,1995,1998,9,20,USA
Colonel Lester,1895-05-16,0,1919,1919,5,16,USA
Charles M.,1849-08-03,0,1874,1874,8,3,USA
Jack Thomas,1968-02-26,16,1992,2008,2,26,USA
Bernard Austin,1913-08-25,0,1935,1935,8,25,USA
William Nicholas,1898-01-28,1,1919,1920,1,28,USA
Brian Robert,1958-02-20,4,1985,1989,2,20,USA
Bradley Michael,1982-05-25,4,2010,2014,5,25,USA
Brandon Roger,1986-11-23,8,2010,2018,11,23,USA
Charles F.,1873-02-06,0,1890,1890,2,6,USA
Christopher Ryan,1981-02-12,9,2004,2013,2,12,USA
Alfred Joseph,1890-08-20,0,1914,1914,8,20,USA
Abraham Conrad,1873-05-06,0,1898,1898,5,6,CAN
James Cory,1962-11-11,8,1986,1994,11,11,USA
Earl Clifford,1976-05-06,2,2002,2004,5,6,USA
Frank Elton,1894-05-27,15,1912,1927,5,27,USA
George T.,1848-09-28,0,1882,1882,9,28,USA
Gene Walter,1931-03-31,0,1959,1959,3,31,USA
John William,1886-10-06,0,1917,1917,10,6,USA
Gerald George,1929-07-21,6,1952,1958,7,21,USA
James C. A.,1847-09-15,0,1872,1872,9,15,USA
James Robert,1932-08-15,3,1961,1964,8,15,USA
John Michael,1974-08-16,2,1998,2000,8,16,USA
Kyle Ehren,1977-09-09,5,2003,2008,9,9,USA
Charles N.,1854-10-06,18,1873,1891,10,6,USA
Emanuel Sebastian,1854-12-12,8,1876,1884,12,12,USA
Russell Henry,1934-06-22,11,1959,1970,6,22,USA
Scott,1977-10-26,0,2001,2001,10,26,USA
Chad Nicholas,1993-07-10,1,2018,2019,7,10,USA
Louis Francis,1871-10-24,2,1897,1899,10,24,USA
Miguel Angel,1986-07-24,6,2012,2018,7,24,Venezuela
William,1914-09-18,0,1937,1937,9,18,USA
Eric Thane,1948-09-24,9,1971,1980,9,24,USA
Stephen Andrew,1972-04-03,0,1996,1996,4,3,USA
Clint Rea,1972-07-13,4,1995,1999,7,13,USA
Raymond John,1958-10-31,1,1986,1987,10,31,USA
Richard Michael,1956-12-16,2,1979,1981,12,16,USA
Eric Sidney,1986-05-22,9,2010,2019,5,22,USA
Luis Beltran,1965-01-03,13,1990,2003,1,3,Venezuela
Tolia,1947-01-15,11,1968,1979,1,15,American Samoa
Nicholas Blake,1995-01-11,0,2019,2019,1,11,USA
Donovan,1987-12-17,7,2012,2019,12,17,Colombia
Jhonatan,1985-08-12,3,2012,2015,8,12,Colombia
Julio Cesar,1960-01-08,6,1983,1989,1,8,D.R.
Yangervis Alfredo,1987-07-03,5,2014,2019,7,3,Venezuela
Alain,1979-10-09,0,2006,2006,10,9,Cuba
Jorge Carlos,1992-02-25,5,2014,2019,2,25,Cuba
Roman Ali,1987-09-29,2,2012,2014,9,29,Mexico
Marcelino,1930-07-19,0,1958,1958,7,19,Mexico
Samuel Robert,1988-08-10,3,2015,2018,8,10,USA
Eddie,1951-02-09,9,1973,1982,2,9,USA
Mose Hirsch,1900-12-08,0,1923,1923,12,8,USA
Julius Joseph,1906-03-22,9,1934,1943,3,22,USA
Edward G.,1853-03-01,1,1875,1876,3,1,USA
John Wesley,1882-10-26,1,1910,1911,10,26,USA
Andrew Henry,1876-02-06,0,1894,1894,2,6,USA
William Dunn,1923-02-17,0,1950,1950,2,17,USA
Joseph John,1858-11-20,10,1880,1890,11,20,USA
John Andrew,1865-10-26,3,1887,1890,10,26,USA
Rudolph,1886-10-30,15,1912,1927,10,30,USA
Layne R.,1989-06-05,0,2016,2016,6,5,USA
Donald C.,1899-01-31,3,1924,1927,1,31,USA
Andrew Michael,1983-03-18,4,2007,2011,3,18,USA
Lary Alan,1955-10-04,11,1977,1988,10,4,USA
Zach Hart,1977-01-03,2,2003,2005,1,3,USA
Alfonso Guilleard,1976-01-07,15,1999,2014,1,7,D.R.
Joakim Agustin,1984-05-18,12,2007,2019,5,18,Mexico
Rafael,1979-12-19,13,2002,2015,12,19,D.R.
Michael John Graydon,1997-08-04,1,2018,2019,8,4,CAN
Billy Lee,1940-10-14,5,1965,1970,10,14,USA
Raymond Edwin,1896-07-31,0,1922,1922,7,31,USA
Paul Anthony,1965-11-17,10,1989,1999,11,17,USA
Victor Garland,1901-04-09,9,1928,1937,4,9,USA
Edmundo,1996-03-06,1,2018,2019,3,6,Panama
Elias,1950-06-10,11,1972,1983,6,10,D.R.
Henry,1985-07-28,0,2011,2011,7,28,D.R.
Jose Ynocencio,1952-12-28,1,1975,1976,12,28,D.R.
Jorge Bolivar,1978-04-28,8,2002,2010,4,28,D.R.
Juan Luis,1975-08-19,2,1999,2001,8,19,D.R.
Samuel Peralta,1968-11-12,18,1989,2007,11,12,D.R.
Dennis Elwood,1904-01-20,5,1926,1931,1,20,USA
Allen Sutton,1893-04-27,12,1914,1926,4,27,USA
Geovany,1983-01-20,12,2005,2017,1,20,P.R.
Giovanni Luis,1991-05-18,0,2015,2015,5,18,P.R.
Gregory,1995-02-11,0,2019,2019,2,11,D.R.
Juan Jose,1998-10-25,1,2018,2019,10,25,D.R.
Mario Melvin,1956-07-12,11,1977,1988,7,12,D.R.
Neftali O.,1989-02-28,1,2013,2014,2,28,P.R.
Stephen,1919-03-03,9,1946,1955,3,3,USA
William Harold,1893-03-09,16,1913,1929,3,9,USA
William Frederick,1945-11-10,0,1964,1964,11,10,USA
Clyde Aubra,1886-11-03,0,1911,1911,11,3,USA
Kenneth Mark,1954-02-01,0,1980,1980,2,1,USA
Steven Jeffrey,1989-04-24,4,2014,2018,4,24,USA
William Jefferson,1864-11-29,2,1888,1890,11,29,USA
John,1866-12-10,3,1887,1890,12,10,USA
Leonard,1861-06-29,0,1886,1886,6,29,USA
Jeremy Bryan,1983-05-17,3,2006,2009,5,17,USA
Robert,1877-01-04,3,1907,1910,1,4,USA
Warren Edward,1921-04-23,23,1942,1965,4,23,USA
Albert Goodwill,1850-09-02,7,1871,1878,9,2,USA
Charles Harry,1893-10-13,1,1927,1928,10,13,USA
Keiunta Denard,1984-02-27,10,2008,2018,2,27,USA
Albert Donald,1933-07-08,12,1959,1971,7,8,USA
Cory Joseph,1991-03-16,5,2014,2019,3,16,USA
William Henry,1938-07-08,0,1964,1964,7,8,USA
Glenn Michael,1992-05-11,2,2017,2019,5,11,USA
James Jeffrey,1972-04-04,1,1999,2000,4,4,USA
Steven William,1965-07-02,9,1995,2004,7,2,USA
Stephen Lanier,1975-03-28,0,2000,2000,3,28,USA
Thomas Frank,1874-12-12,13,1897,1910,12,12,USA
Joseph Blase,1942-02-04,6,1964,1970,2,4,USA
Robert Charles,1930-08-22,4,1955,1959,8,22,USA
Tristram E.,1888-04-04,21,1907,1928,4,4,USA
Nathaniel Joseph,1985-05-03,1,2011,2012,5,3,USA
Robert Clifford,1956-08-08,0,1986,1986,8,8,USA
Byron Franklin,1897-01-06,6,1924,1930,1,6,USA
Horace Arthur,1951-10-04,4,1975,1979,10,4,USA
Floyd Vernie,1913-01-27,1,1943,1944,1,27,USA
George Nathan,1886-06-16,0,1909,1909,6,16,USA
Timothy Joseph,1966-07-02,8,1991,1999,7,2,USA
Chris Edward,1950-06-28,18,1971,1989,6,28,USA
Gabriel James,1995-04-12,0,2019,2019,4,12,USA
Justin James,1973-11-06,11,1998,2009,11,6,USA
Ryan Andrew,1979-07-24,4,2005,2009,7,24,USA
Jimmy Levale,1980-09-24,1,2007,2008,9,24,USA
Lloyd Benjamin,1890-05-15,0,1913,1913,5,15,USA
John Robert,1946-02-10,2,1969,1971,2,10,USA
Chester Arthur,1883-03-04,0,1906,1906,3,4,USA
Daryl Dean,1928-07-13,11,1952,1963,7,13,USA
George Elwell,1926-07-07,10,1950,1960,7,7,USA
Glenn Edward,1905-09-11,5,1928,1933,9,11,USA
Fred Calvin,1885-04-25,0,1912,1912,4,25,USA
Harrison Leslie,1853-02-22,NA,NA,NA,2,22,USA
James Lloyd,1947-07-30,14,1968,1982,7,30,USA
Joshua Patrick William,1988-01-22,1,2011,2012,1,22,Australia
Roy Hampton,1900-02-22,13,1925,1938,2,22,USA
Sean James,1975-05-29,1,1999,2000,5,29,USA
Michael Shane,1972-02-20,6,1998,2004,2,20,USA
Stanley Orville,1915-03-20,9,1940,1949,3,20,USA
Stanley Roger,1969-08-07,2,1998,2000,8,7,USA
Hubert Thomas,1951-02-28,0,1978,1978,2,28,USA
Edward Russell,1884-01-26,13,1905,1918,1,26,USA
Vernon Murray,1894-02-04,0,1920,1920,2,4,USA
Paul Bachman,1893-10-05,0,1920,1920,10,5,USA
