player,birthday,yrs
Kobi Simmons,1997-07-04,2
Henry Bacon,1948-07-05,1
Raymond Brown,1965-07-05,1
Bob Duffy,1922-07-05,1
Joe Hamilton,1948-07-05,6
Adam Harrington,1980-07-05,1
Brendan McCann,1935-07-05,3
Eddie Miles,1940-07-05,9
Alan Ogg,1967-07-05,3
Wayne Pack,1950-07-05,1
Mark Radford,1959-07-05,2
Ed Smith,1929-07-05,1
Ish Smith,1988-07-05,10
Beno Udrih,1982-07-05,13
Andrew Anderson,1945-07-06,3
Jae Crowder,1990-07-06,8
Al Ferrari,1933-07-06,6
Herm Fuetsch,1918-07-06,1
Pau Gasol,1980-07-06,18
Elias Harris,1989-07-06,1
Antonio Harvey,1970-07-06,8
Wally Osterkorn,1928-07-06,4
Bob Riley,1948-07-06,1
Jeff Webb,1948-07-06,2
Zion Williamson,2000-07-06,1
Chris Andersen,1978-07-07,15
Jim Barnett,1944-07-07,11
Tommie Bowens,1940-07-07,3
Eric Dawson,1984-07-07,1
Cristiano Felício,1992-07-07,5
Tom Garrick,1966-07-07,4
Devon Hall,1995-07-07,1
Chris Hunter,1984-07-07,1
Rick Roberson,1947-07-07,7
Brandon Rush,1985-07-07,9
Ralph Sampson*,1960-07-07,9
Johnny Simmons,1924-07-07,1
John Warren,1947-07-07,5
Jordan Adams,1994-07-08,2
Bucky Bockhorn,1933-07-08,7
Bayard Forrest,1954-07-08,2
Sylvester Gray,1967-07-08,1
Ty Jerome,1997-07-08,1
Grant Jerrett,1993-07-08,1
Britton Johnsen,1979-07-08,2
Jim Mooney,1930-07-08,1
Don Ray,1921-07-08,1
Dave Sorenson,1948-07-08,3
Hakim Warrick,1982-07-08,8
Sonny Weems,1986-07-08,4
Wang Zhizhi,1977-07-08,5
Tom Black,1941-07-09,1
George Bucci,1953-07-09,1
Al Butler,1938-07-09,4
Joe Dolhon,1927-07-09,2
Ron Grandison,1964-07-09,4
Kevin Hervey,1996-07-09,1
Major Jones,1953-07-09,6
Jordan Mickey,1994-07-09,3
Bob Miller,1956-07-09,1
Jaylen Nowell,1999-07-09,1
Jim Paxson,1957-07-09,11
Jim Pollard*,1922-07-09,7
Mike Riordan,1945-07-09,9
Johnny Bach,1924-07-10,1
Ken Charles,1951-07-10,5
Jared Dudley,1985-07-10,13
Allie McGuire,1951-07-10,1
Cliff Meely,1947-07-10,5
Kevin O'Shea,1925-07-10,3
Bob Thornton,1962-07-10,8
Harry Zeller,1919-07-10,1
Pat Cummings,1956-07-11,12
Dick Cunningham,1946-07-11,7
A.J. English,1967-07-11,2
Calvin Garrett,1956-07-11,4
Clem Haskins,1943-07-11,9
Lou Hudson,1944-07-11,13
Wesley Johnson,1987-07-11,9
Ron King,1951-07-11,1
Rich Laurel,1954-07-11,1
Tony Lavelli,1926-07-11,2
Ray Lumpp,1923-07-11,5
Malcolm Mackey,1970-07-11,1
Eduardo Nájera,1976-07-11,12
John Pilch,1925-07-11,1
Ed Sadowski,1917-07-11,4
Woody Sauldsberry,1934-07-11,7
Rod Strickland,1966-07-11,17
Isaiah Taylor,1994-07-11,2
George Trapp,1948-07-11,6
Jeff Trepagnier,1979-07-11,3
Bobby Washington,1947-07-11,3
Travis Best,1972-07-12,10
Patrick Beverley,1988-07-12,8
Shai Gilgeous-Alexander,1998-07-12,2
Drew Gordon,1990-07-12,1
Geert Hammink,1969-07-12,3
Jimmy Oliver,1969-07-12,5
Mel Riebe,1916-07-12,3
Ray Scott,1938-07-12,11
Paul Silas,1943-07-12,16
Ken Smith,1953-07-12,1
Red Wallace,1918-07-12,1
Jasper Wilson,1947-07-12,2
Dick Bunt,1930-07-13,1
Dante Exum,1995-07-13,5
Michael Jackson,1964-07-13,3
Bob Kauffman,1946-07-13,7
Stu Lantz,1946-07-13,8
Arinze Onuaku,1987-07-13,3
George Pastushok,1922-07-13,1
Cal Ramsey,1937-07-13,2
Frank Ramsey*,1931-07-13,9
David Thompson*,1954-07-13,9
Spud Webb,1963-07-13,12
Renaldo Balkman,1984-07-14,6
Wallace Bryant,1959-07-14,3
Erick Dampier,1975-07-14,16
Jeff Foote,1987-07-14,1
Wah Wah Jones,1926-07-14,3
Johnny Mathis,1943-07-14,1
Shabazz Napier,1991-07-14,6
James Nunnally,1990-07-14,2
Stan Pietkiewicz,1956-07-14,3
Marshall Plumlee,1992-07-14,2
Harold Pressley,1963-07-14,4
Lou Roe,1972-07-14,2
Mark Strickland,1970-07-14,8
Bernard Toone,1956-07-14,1
Ken Austin,1961-07-15,1
Norton Barnhill,1953-07-15,1
Archie Clark,1941-07-15,10
John Crotty,1969-07-15,11
Troy Daniels,1991-07-15,7
Bill Dinwiddie,1943-07-15,4
Derrick Favors,1991-07-15,10
Tobias Harris,1992-07-15,9
Tyler Honeycutt,1990-07-15,2
Stephen Howard,1970-07-15,4
Chris Johnson,1985-07-15,3
Lee Knorek,1921-07-15,4
Luke Kornet,1995-07-15,3
Damian Lillard,1990-07-15,8
Chris McNealy,1961-07-15,3
Allen Murphy,1952-07-15,2
Anthony Randolph,1989-07-15,6
Khalid Reeves,1972-07-15,6
Richard Washington,1955-07-15,6
Lorenzo Williams,1969-07-15,7
Gary Bergen,1932-07-16,1
Lanard Copeland,1965-07-16,2
Rowland Garrett,1950-07-16,5
Lew Hitch,1929-07-16,6
Solomon Jones,1984-07-16,8
Chris Mihm,1979-07-16,8
Timofey Mozgov,1986-07-16,8
Mel Payton,1926-07-16,2
Desmond Penigar,1981-07-16,1
Zach Randolph,1981-07-16,17
Mike Scott,1988-07-16,8
Charles Smith,1965-07-16,9
Ricky Wilson,1964-07-16,1
Bob Allen,1946-07-17,1
OG Anunoby,1997-07-17,3
Vander Blue,1992-07-17,3
Calbert Cheaney,1971-07-17,13
Connie Hawkins*,1942-07-17,9
Charles Jones,1975-07-17,2
Red Kerr,1932-07-17,12
Ed Leede,1927-07-17,2
Slick Leonard*,1932-07-17,7
Horacio Llamas Grey,1973-07-17,2
Donny Marshall,1972-07-17,5
Kevin Pritchard,1967-07-17,4
Bob Warren,1946-07-17,8
Eric Williams,1972-07-17,12
Bam Adebayo,1997-07-18,3
Derek Anderson,1974-07-18,11
Thanasis Antetokounmpo,1992-07-18,2
Jerry Chambers,1943-07-18,6
Joe Crispin,1979-07-18,1
Donnie Freeman,1944-07-18,9
Mike Gale,1950-07-18,11
Anfernee Hardaway,1971-07-18,14
Wardell Jackson,1951-07-18,1
Clay Johnson,1956-07-18,3
York Larese,1938-07-18,1
Adam Mokoka,1998-07-18,1
Ray Ramsey,1921-07-18,1
Walter Sharpe,1986-07-18,1
Wally Walker,1954-07-18,8
Alvan Adams,1954-07-19,13
LaMarcus Aldridge,1985-07-19,14
Mike Brown,1963-07-19,11
George Dempsey,1929-07-19,5
Alex Hannum*,1923-07-19,8
Alfredrick Hughes,1962-07-19,1
Tom Kerwin,1944-07-19,1
Jay Miller,1943-07-19,4
Adam Morrison,1984-07-19,3
Brooks Thompson,1970-07-19,4
Steven Adams,1993-07-20,7
Ray Allen*,1975-07-20,18
Joe Arlauckas,1965-07-20,1
Goga Bitadze,1999-07-20,1
Butch Booker,1945-07-20,1
Alec Burks,1991-07-20,9
Mel Daniels*,1944-07-20,9
Mack Daughtry,1946-07-20,1
Roy Hamilton,1957-07-20,2
Ron Johnson,1938-07-20,1
Howie Jolliff,1938-07-20,3
Mike Macaluso,1951-07-20,1
Ronnie MacGilvray,1930-07-20,1
Ben McDonald,1962-07-20,4
Walt Miller,1915-07-20,1
Dwight Powell,1991-07-20,6
Casey Shaw,1975-07-20,1
Ben Simmons,1996-07-20,3
James Singleton,1981-07-20,5
Will Solomon,1978-07-20,2
Andre Spencer,1964-07-20,2
Nick Weatherspoon,1950-07-20,7
Paul Davis,1984-07-21,4
Kaniel Dickens,1978-07-21,3
Jamaal Franklin,1991-07-21,2
Dave Henderson,1964-07-21,1
Conner Henry,1963-07-21,2
Fred Hetzel,1942-07-21,6
DeAndre Jordan,1988-07-21,12
Steve Malovic,1956-07-21,1
Jerry Paulson,1935-07-21,1
Henry Pearcy,1922-07-21,1
Omari Spellman,1997-07-21,2
Jason Thompson,1986-07-21,8
Von Wafer,1985-07-21,6
Rafael Addison,1964-07-22,6
Bird Averitt,1952-07-22,5
Desmond Ferguson,1977-07-22,1
Dave Gunther,1937-07-22,1
Sam Jacobson,1975-07-22,3
Bobby Rascoe,1940-07-22,3
Alvin Robertson,1962-07-22,10
Sam Stith,1937-07-22,1
Bryan Warrick,1959-07-22,4
Slick Watts,1951-07-22,6
Deandre Ayton,1998-07-23,2
Leon Benbow,1950-07-23,2
Elden Campbell,1968-07-23,15
Antoine Carr,1961-07-23,16
Chris Clemons,1997-07-23,1
Coby Dietrick,1948-07-23,13
Bryn Forbes,1993-07-23,4
Javonte Green,1993-07-23,1
Darvin Ham,1973-07-23,8
Gary Payton*,1968-07-23,17
Brandon Roy,1984-07-23,6
Axel Toupane,1992-07-23,2
Gerald Wallace,1982-07-23,14
Micheal Williams,1966-07-23,10
Rafer Alston,1976-07-24,11
Walt Bellamy*,1939-07-24,14
Harry Boykoff,1922-07-24,2
Joe Barry Carroll,1958-07-24,10
Steve Colter,1962-07-24,8
Don Eliason,1918-07-24,1
Rick Fox,1969-07-24,13
Frank Fucarino,1920-07-24,1
Andrew Gaze,1965-07-24,2
Isaiah Hicks,1994-07-24,2
Ryan Humphrey,1979-07-24,3
Chris King,1969-07-24,3
Furkan Korkmaz,1997-07-24,3
Kyle Kuzma,1995-07-24,3
Karl Malone*,1963-07-24,19
Cotton Nash,1942-07-24,2
Chuck Noble,1931-07-24,7
Norm Richardson,1979-07-24,1
Ryan Stack,1975-07-24,2
John Stroeder,1958-07-24,2
Harry Barnes,1945-07-25,1
Jon Barry,1969-07-25,14
Ike Borsavage,1924-07-25,1
Jake Carter,1924-07-25,1
Brandon Davies,1991-07-25,2
Ed Fleming,1933-07-25,5
Gary Freeman,1948-07-25,1
Todd Fuller,1974-07-25,5
Nenad Krstić,1983-07-25,7
Tracy Murray,1971-07-25,12
Angelo Musi,1918-07-25,3
Bud Olsen,1940-07-25,8
Nolan Smith,1988-07-25,2
Kenny Thomas,1977-07-25,11
Nate Thurmond*,1941-07-25,14
Brad Wanamaker,1989-07-25,2
Skip Wise,1955-07-25,1
Gary Bradds,1942-07-26,6
Mike Davis,1946-07-26,4
Monti Davis,1958-07-26,1
Jawun Evans,1996-07-26,2
Mickell Gladness,1986-07-26,1
Dick Grubar,1947-07-26,1
Phil Hankinson,1951-07-26,2
Walt Lemon,1992-07-26,2
Willie McCarter,1946-07-26,3
Todd Mitchell,1966-07-26,1
Lucas Nogueira,1992-07-26,4
Loy Petersen,1945-07-26,2
Marial Shayok,1995-07-26,1
Joe Smith,1975-07-26,16
Earl Tatum,1953-07-26,4
Donell Taylor,1982-07-26,2
Bubba Wells,1974-07-26,1
Delonte West,1983-07-26,8
Rickie Winslow,1964-07-26,1
Danny Young,1962-07-26,10
Forest Able,1932-07-27,1
Marvin Barnes,1952-07-27,6
Phil Bond,1954-07-27,1
Mack Calvin,1947-07-27,11
DeMarre Carroll,1986-07-27,11
Gus Gerard,1953-07-27,7
Jordan Hill,1987-07-27,8
Ryan Lorthridge,1972-07-27,1
Jordan Loyd,1993-07-27,1
Ted Luckenbill,1939-07-27,2
Moochie Norris,1973-07-27,9
James Ray,1957-07-27,3
Guy Rucker,1977-07-27,1
Don Smith,1920-07-27,1
Bob Woollard,1940-07-27,1
Maurice Baker,1979-07-28,1
Howard Bayne,1942-07-28,1
Bill Bradley*,1943-07-28,10
Gerald Brown,1975-07-28,1
Troy Brown,1999-07-28,2
Doug Collins,1951-07-28,8
Ollie Darden,1944-07-28,3
Semih Erden,1986-07-28,2
Manu Ginóbili,1977-07-28,16
Willie Green,1981-07-28,12
Harry Miller,1923-07-28,1
Frank Ntilikina,1998-07-28,3
Willie Williams,1946-07-28,1
Pero Antić,1982-07-29,2
Tony Brown,1960-07-29,7
Larry Bunce,1945-07-29,2
Barney Cable,1935-07-29,6
Terry Duerod,1956-07-29,4
Arnie Ferrin,1925-07-29,3
Sonny Hertzberg,1922-07-29,5
Al Jackson,1943-07-29,1
Henry James,1965-07-29,7
Mike McGee,1959-07-29,9
Rodney McGruder,1991-07-29,4
Gene Moore,1945-07-29,7
Ronnie Murphy,1964-07-29,1
Ronald Murray,1979-07-29,8
Ansu Sesay,1976-07-29,4
Neal Walk,1948-07-29,8
Scott Wedman,1952-07-29,13
Carlos Arroyo,1979-07-30,9
Walt Budko,1925-07-30,4
Bill Cartwright,1957-07-30,15
Bo Erias,1932-07-30,1
Jim McIlvaine,1972-07-30,7
Chris Mullin*,1963-07-30,16
Billy Paultz,1948-07-30,15
Ray Wertis,1923-07-30,2
Henry Akin,1944-07-31,3
Scott Brooks,1965-07-31,10
Thomas Bryant,1997-07-31,3
Hamidou Diallo,1998-07-31,2
John Edwards,1981-07-31,2
Mike Flynn,1953-07-31,3
Mel Hirsch,1921-07-31,1
Mike Jackson,1949-07-31,4
Tony Massenburg,1967-07-31,13
Kostas Papanikolaou,1990-07-31,2
Ruben Patterson,1975-07-31,10
Derrick Phelps,1972-07-31,1
John Shasky,1964-07-31,3
Álex Abrines,1993-08-01,3
Stacey Augmon,1968-08-01,15
Jerrelle Benimon,1991-08-01,1
Mario Bennett,1973-08-01,4
Steve Bracey,1950-08-01,3
Joe Buckhalter,1937-08-01,2
Armand Cure,1919-08-01,1
Maurice McHartley,1942-08-01,3
Austin Rivers,1992-08-01,8
Jordan Sibert,1992-08-01,1
Kiki Vandeweghe,1958-08-01,13
Danny Wagner,1922-08-01,1
Cedric Ceballos,1969-08-02,11
Al Cueto,1946-08-02,2
Mike Davis,1956-08-02,1
Steve Hayes,1955-08-02,5
Greg Jackson,1952-08-02,1
Edgar Lacey,1944-08-02,1
Bob Netolicky,1942-08-02,9
Kristaps Porziņģis,1995-08-02,4
Duck Williams,1956-08-02,1
George Zídek,1973-08-02,3
Bob Carney,1932-08-03,1
Trevon Duval,1998-08-03,1
Mike Gminski,1959-08-03,14
Derek Grimm,1974-08-03,1
Bob Gross,1953-08-03,8
Marshall Hawkins,1924-08-03,1
Viktor Khryapa,1982-08-03,4
Kelan Martin,1995-08-03,1
Nate McMillan,1964-08-03,12
Naz Mitrou-Long,1993-08-03,3
Elmore Morgenthaler,1922-08-03,2
Kendrick Nunn,1995-08-03,1
Doug Overton,1969-08-03,11
Jim Reid,1945-08-03,1
Rich Rinaldi,1949-08-03,3
Joe Ruklick,1938-08-03,3
Wilson Washington,1955-08-03,2
Spider Bennett,1943-08-04,1
Mardy Collins,1984-08-04,4
Michael Holton,1961-08-04,6
Caldwell Jones,1950-08-04,17
Ron Knight,1947-08-04,2
Jerry McKee,1946-08-04,1
Miye Oni,1997-08-04,1
Mike Pratt,1948-08-04,2
Ha Seung-Jin,1985-08-04,2
Marreese Speights,1987-08-04,10
Matt Thomas,1994-08-04,1
Perry Young,1963-08-04,1
Matt Costello,1993-08-05,1
Patrick Ewing*,1962-08-05,17
Vince Hunter,1994-08-05,1
Othyus Jeffers,1985-08-05,3
Greg Kite,1961-08-05,12
Frank Mangiapane,1925-08-05,1
Chris Munk,1967-08-05,1
Laron Profit,1977-08-05,4
Greg Stokes,1963-08-05,2
Otis Thorpe,1962-08-05,17
Tom Brennan,1930-08-06,1
Fred Christ,1930-08-06,1
Darwin Cook,1958-08-06,8
Dale Ellis,1960-08-06,17
Ron Feiereisel,1931-08-06,1
Mike Green,1951-08-06,7
Daniel Orton,1990-08-06,3
David Robinson*,1965-08-06,14
Alvin Williams,1974-08-06,9
Fred Brown,1948-08-07,13
DeMar DeRozan,1989-08-07,11
Josh Grant,1967-08-07,1
Al Guokas,1925-08-07,1
Donta Hall,1997-08-07,1
Lester Hudson,1984-08-07,4
Tony Mitchell,1989-08-07,1
Clint Richardson,1956-08-07,8
John Rudd,1955-08-07,1
Gene Short,1953-08-07,1
Vassilis Spanoulis,1982-08-07,1
Alex Stepheson,1987-08-07,1
Bubba Wilson,1955-08-07,1
William Avery,1979-08-08,3
Torgeir Bryn,1964-08-08,1
Bo Ellis,1954-08-08,3
Danilo Gallinari,1988-08-08,11
Daniel Hamilton,1995-08-08,2
Bill Hewitt,1944-08-08,6
Randy Holcomb,1979-08-08,1
Scotty Hopson,1989-08-08,2
Garth Joseph,1973-08-08,1
Irv Kiffin,1951-08-08,1
Rashard Lewis,1979-08-08,16
Dwayne Morton,1971-08-08,1
Willie Norwood,1947-08-08,7
Togo Palazzi,1932-08-08,6
Cameron Payne,1994-08-08,5
Aleksandar Radojević,1976-08-08,2
Furkan Aldemir,1991-08-09,1
Joel Anthony,1982-08-09,10
Bob Cousy*,1928-08-09,14
Willie Davis,1945-08-09,1
Don Dee,1943-08-09,1
Vinny Del Negro,1966-08-09,12
Derek Fisher,1974-08-09,18
Jarvis Hayes,1981-08-09,7
Jimmy King,1973-08-09,2
Dick Knostman,1931-08-09,1
Bud Koper,1942-08-09,1
Dane Suttle,1961-08-09,2
Jack Toomay,1922-08-09,3
Ime Udoka,1977-08-09,7
Hot Rod Williams,1962-08-09,13
Don Buse,1950-08-10,13
Carlos Clark,1960-08-10,2
Josh Davis,1980-08-10,4
Bob Doll,1919-08-10,4
Andre Drummond,1993-08-10,8
Marcus Fizer,1978-08-10,6
Terrel Harris,1987-08-10,2
Red Holzman*,1920-08-10,6
Ja Morant,1999-08-10,1
Ralph Simpson,1949-08-10,10
John Starks,1965-08-10,13
Bryce Cotton,1992-08-11,2
Craig Ehlo,1961-08-11,14
Kyle Guy,1997-08-11,1
Chris Harris,1933-08-11,1
Kevin Knox,1999-08-11,2
Patty Mills,1988-08-11,11
Mike O'Neill,1928-08-11,1
John Rennicke,1929-08-11,1
Ennis Whatley,1962-08-11,10
Rafael Araújo,1980-08-12,3
Ed Biedenbach,1945-08-12,1
Dewayne Dedmon,1989-08-12,7
Gerald Fitch,1982-08-12,1
Bob Harrison,1927-08-12,9
Roy Hurley,1922-08-12,1
George McGinnis*,1950-08-12,11
Khris Middleton,1991-08-12,8
Elijah Millsap,1987-08-12,3
Lamar Patterson,1991-08-12,2
Jack Rocker,1922-08-12,1
Antoine Walker,1976-08-12,12
Cornell Warner,1948-08-12,7
Keith Benson,1988-08-13,1
Ed Burton,1939-08-13,2
Geno Carlisle,1976-08-13,1
DeMarcus Cousins,1990-08-13,9
Chuck Gilmur,1922-08-13,5
Gary Gregor,1945-08-13,6
Dave Jamerson,1967-08-13,3
Ed Kasid,1923-08-13,1
Justus Thigpen,1947-08-13,3
Okaro White,1992-08-13,3
Chucky Atkins,1974-08-14,11
Earl Barron,1981-08-14,8
Frank Brickowski,1959-08-14,12
Joe Cooke,1948-08-14,1
Richie Frahm,1977-08-14,4
Gorham Getchell,1920-08-14,1
Reggie Hearn,1991-08-14,1
Magic Johnson*,1959-08-14,13
Mfiondu Kabengele,1997-08-14,1
Yante Maten,1996-08-14,1
Ed O'Bannon,1972-08-14,2
Fred Roberts,1960-08-14,13
Mike Williams,1963-08-14,1
John Arthurs,1947-08-15,1
Bruce Brown,1996-08-15,2
Kenny Carr,1955-08-15,10
Darrell Elston,1952-08-15,2
Bruno Fernando,1998-08-15,1
Chuck Grigsby,1928-08-15,1
David Harrison,1982-08-15,4
Mervin Jackson,1946-08-15,5
Boban Marjanović,1988-08-15,5
Ed Stanczak,1921-08-15,2
Stephen Vacendak,1944-08-15,3
Bob Wilkerson,1954-08-15,7
James Donaldson,1957-08-16,14
Sonny Dove,1945-08-16,5
Eddie Gill,1978-08-16,7
Dale Hamilton,1919-08-16,1
Carl Henry,1960-08-16,1
Les Hunter,1942-08-16,7
Ken Keller,1922-08-16,1
George King,1928-08-16,6
Bill Martin,1962-08-16,3
Mike Morrison,1967-08-16,1
Paul Stovall,1948-08-16,2
Charlie Tyra,1935-08-16,5
Rashad Vaughn,1996-08-16,3
Rory White,1959-08-16,5
James Young,1995-08-16,4
Michael Brooks,1958-08-17,6
Dee Brown,1984-08-17,2
Cleveland Buckner,1938-08-17,2
Bobby Cattage,1958-08-17,2
Dallas Comegys,1964-08-17,2
Larry Comley,1939-08-17,1
Carrick Felix,1990-08-17,1
Rudy Gay,1986-08-17,14
Archie Goodwin,1994-08-17,4
Jim Kissane,1946-08-17,1
Christian Laettner,1969-08-17,13
Tahjere McCall,1994-08-17,1
Paul Noel,1924-08-17,5
Kenny Sears,1933-08-17,8
Tyrus Thomas,1986-08-17,8
Isaac Austin,1969-08-18,9
John Barr,1918-08-18,1
Bogdan Bogdanović,1992-08-18,3
Willie Cauley-Stein,1993-08-18,5
Bob Elliott,1955-08-18,3
Rickey Green,1954-08-18,14
Jay Guidinger,1969-08-18,2
Mike James,1990-08-18,1
Jim Les,1963-08-18,7
Fat Lever,1960-08-18,11
Brian Martin,1962-08-18,1
Mustafa Shakur,1984-08-18,2
Alen Smailagić,2000-08-18,1
Henry Turner,1966-08-18,2
Kenny Walker,1964-08-18,7
Stew Johnson,1944-08-19,9
Kendall Marshall,1991-08-19,4
Mel McCants,1967-08-19,1
Jason Miskiri,1975-08-19,1
Ricky Pierce,1959-08-19,16
Roy Rogers,1973-08-19,3
James Webb,1993-08-19,1
Derrick Alston,1972-08-20,3
Jerryd Bayless,1988-08-20,11
Melvin Booker,1972-08-20,2
Rickey Brown,1958-08-20,5
Quinn Buckner,1954-08-20,10
Ray Epps,1956-08-20,1
Ricky Grace,1967-08-20,1
Si Green,1933-08-20,9
John Hargis,1920-08-20,2
Cory Joseph,1991-08-20,9
Bobby Smith,1937-08-20,2
Terry Thomas,1953-08-20,1
Willie White,1962-08-20,2
Bill Bolger,1931-08-21,1
Wilt Chamberlain*,1936-08-21,14
Bryce Dejean-Jones,1992-08-21,1
Andreas Glyniadakis,1981-08-21,1
Adonis Jordan,1970-08-21,2
Elton McGriff,1942-08-21,2
Jodie Meeks,1987-08-21,10
Reggie Smith,1970-08-21,2
Walt Szczerbiak,1949-08-21,1
Emanuel Terry,1996-08-21,1
Dwayne Whitfield,1972-08-21,1
Andray Blatche,1986-08-22,9
Terry Catledge,1963-08-22,8
Michael Curry,1968-08-22,11
Jarrett Durham,1949-08-22,1
Obinna Ekezie,1975-08-22,4
Rick Hughes,1973-08-22,1
Harold Kottman,1922-08-22,1
Howie Montgomery,1940-08-22,1
Charles Smith,1975-08-22,5
Tom Boerwinkle,1945-08-23,10
Allan Bristow,1951-08-23,10
Ryan Broekhoff,1990-08-23,2
Kobe Bryant*,1978-08-23,20
Darren Collison,1987-08-23,10
Seth Curry,1990-08-23,6
Pat Garrity,1976-08-23,10
Goo Kennedy,1949-08-23,6
Jeremy Lin,1988-08-23,9
Sean Marks,1975-08-23,11
Mal McMullen,1927-08-23,2
Guy Morgan,1960-08-23,1
Jusuf Nurkić,1994-08-23,6
Rik Smits,1966-08-23,12
P.J. Washington,1998-08-23,1
Bob Anderegg,1937-08-24,1
Evers Burns,1971-08-24,1
Tyler Ennis,1994-08-24,4
Will Frazier,1942-08-24,3
Wes Matthews,1959-08-24,9
Kelly McCarty,1975-08-24,1
Reggie Miller*,1965-08-24,18
Bob Nash,1950-08-24,5
Fran O'Hanlon,1948-08-24,1
Michael Redd,1979-08-24,12
Doug Roth,1967-08-24,1
Ansley Truitt,1950-08-24,1
Charlie Villanueva,1984-08-24,11
Noah Vonleh,1995-08-24,6
Tony Dawson,1967-08-25,2
Tony Dumas,1972-08-25,4
Dee Gibson,1923-08-25,1
Robert Hahn,1925-08-25,1
Robert Horry,1970-08-25,16
Mo Howard,1954-08-25,1
Damon Jones,1976-08-25,11
Kevin Jones,1989-08-25,1
Viacheslav Kravtsov,1987-08-25,2
Caris LeVert,1994-08-25,4
Andre McCarter,1953-08-25,3
Isaac Walthour,1930-08-25,1
Walker Banks,1947-08-26,1
Lorenzo Brown,1990-08-26,5
Bill Bunting,1947-08-26,3
Kelvin Cato,1974-08-26,10
Leon Douglas,1954-08-26,7
Sherell Ford,1972-08-26,1
Dennis Grey,1947-08-26,2
James Harden,1989-08-26,11
Donnell Harvey,1980-08-26,5
Tom Heinsohn*,1934-08-26,9
A.W. Holt,1946-08-26,1
Harvey Marlatt,1948-08-26,3
Morris Peterson,1977-08-26,11
Naz Reid,1999-08-26,1
Bob Riedy,1945-08-26,1
Shea Seals,1975-08-26,1
Aleksandar Đorđević,1967-08-26,1
Ernie Barrett,1929-08-27,2
Emanual Davis,1968-08-27,6
Andre Emmett,1982-08-27,2
Don Grate,1923-08-27,1
A.J. Hammons,1992-08-27,1
Kevin Huerter,1998-08-27,2
Trey McKinney-Jones,1990-08-27,1
Otto Moore,1946-08-27,9
Dave Piontek,1934-08-27,7
Marshall Rogers,1953-08-27,1
Lynn Shackelford,1947-08-27,1
Reggie Slater,1970-08-27,8
Bismack Biyombo,1992-08-28,9
Matt Carroll,1980-08-28,10
Terry Driscoll,1947-08-28,5
Jeff Green,1986-08-28,12
John Long,1956-08-28,14
Bob Tough,1920-08-28,2
Dave Britton,1958-08-29,1
Carlos Delfino,1982-08-29,8
Yakhouba Diawara,1982-08-29,4
Harold Fox,1949-08-29,1
Devean George,1977-08-29,11
Greg Grant,1966-08-29,6
Dick Hemric,1933-08-29,2
Darnell Hillman,1949-08-29,9
Warren Jabali,1946-08-29,7
Pierre Jackson,1991-08-29,1
Press Maravich,1915-08-29,1
Rodney McCray,1961-08-29,10
Will Perdue,1965-08-29,13
Jim Walsh,1930-08-29,1
David West,1980-08-29,15
Skippy Whitaker,1930-08-29,1
Dwayne Bacon,1995-08-30,3
Mikal Bridges,1996-08-30,2
George Bruns,1946-08-30,1
David Bustion,1949-08-30,1
Victor Claver,1988-08-30,3
Melvin Frazier,1996-08-30,2
Glen Gondrezick,1955-08-30,6
Bruce Hale,1918-08-30,3
Justin Harper,1989-08-30,3
DaQuan Jeffries,1997-08-30,1
Trey Johnson,1984-08-30,3
Bill Keller,1947-08-30,7
Ted McClain,1946-08-30,8
Bill Meyer,1943-08-30,1
Tim Ohlbrecht,1988-08-30,1
Robert Parish*,1953-08-30,21
Robert Reid,1955-08-30,13
Bernard Thompson,1962-08-30,5
Victor Alexander,1969-08-31,5
Johnny Austin,1944-08-31,2
Lionel Billingy,1952-08-31,1
Wayman Britt,1952-08-31,1
Jalen Brunson,1996-08-31,2
Ron Carter,1956-08-31,2
Chris Duhon,1982-08-31,9
Roy Ebron,1951-08-31,1
Reggie Geary,1973-08-31,2
McCoy Ingram,1931-08-31,1
Mickey Johnson,1952-08-31,12
Priest Lauderdale,1973-08-31,2
Hank Lefkowitz,1923-08-31,1
Howard Porter,1948-08-31,7
James Robinson,1970-08-31,7
Mike Smrek,1962-08-31,7
Lou Tsioropoulos,1930-08-31,3
Duane Washington,1964-08-31,2
D.J. White,1986-08-31,6
Joe Cooper,1957-09-01,3
Jeff Cross,1961-09-01,1
Ryan Gomes,1982-09-01,8
Tim Hardaway,1966-09-01,13
Vinnie Johnson,1956-09-01,13
Hutch Jones,1959-09-01,2
Saul Mariaschin,1924-09-01,1
Cuttino Mobley,1975-09-01,11
Josh Okogie,1998-09-01,2
Miles Plumlee,1988-09-01,7
Cam Reddish,1999-09-01,1
Guy Rodgers*,1935-09-01,12
Jim Seminoff,1922-09-01,4
Erv Staggs,1948-09-01,1
Dallas Thornton,1946-09-01,2
Nickeil Alexander-Walker,1998-09-02,1
Tiny Archibald*,1948-09-02,13
Esteban Batista,1983-09-02,2
Donnie Boyce,1973-09-02,2
Harvey Catchings,1951-09-02,11
Richard Coffey,1965-09-02,1
Ed Conlin,1933-09-02,7
Jesse Dark,1951-09-02,1
Bob Faught,1921-09-02,1
Dusty Hannahs,1993-09-02,2
Brandon Ingram,1997-09-02,4
Roger Jorgensen,1920-09-02,1
Jason Lawson,1974-09-02,1
